,target,source,value
0,"John C. Marin, Jr.",John Marin,2
1,Samuel H. Kress,Giovanni d'Alemagna,1
2,Samuel H. Kress,Andrea di Bartolo,2
3,Samuel H. Kress,Giovanni Paolo Panini,1
4,Samuel H. Kress Foundation,Bartolomeo Montagna,1
5,The A.W. Mellon Educational and Charitable Trust,Vittore Carpaccio,1
6,The A.W. Mellon Educational and Charitable Trust,Florentine 19th Century,1
7,The A.W. Mellon Educational and Charitable Trust,Franco-Flemish 15th Century,1
8,The A.W. Mellon Educational and Charitable Trust,"Francesco Brambilla, the Younger",1
9,The A.W. Mellon Educational and Charitable Trust,Greek 16th Century,1
10,The A.W. Mellon Educational and Charitable Trust,Polidoro Lanzani,1
11,The A.W. Mellon Educational and Charitable Trust,Veronese,1
12,The A.W. Mellon Educational and Charitable Trust,Gainsborough Dupont,1
13,The A.W. Mellon Educational and Charitable Trust,Agostino di Duccio,1
14,The A.W. Mellon Educational and Charitable Trust,Giovanni Bastianini,1
15,The A.W. Mellon Educational and Charitable Trust,Antonio Rossellino,1
16,The A.W. Mellon Educational and Charitable Trust,Duccio di Buoninsegna,1
17,The A.W. Mellon Educational and Charitable Trust,Fra Angelico,1
18,The A.W. Mellon Educational and Charitable Trust,Giovanni Bellini,1
19,The A.W. Mellon Educational and Charitable Trust,Benvenuto di Giovanni,1
20,The A.W. Mellon Educational and Charitable Trust,Gerard ter Borch the Younger,1
21,The A.W. Mellon Educational and Charitable Trust,Byzantine 13th Century,1
22,The A.W. Mellon Educational and Charitable Trust,Giovanni Bologna,1
23,The A.W. Mellon Educational and Charitable Trust,Francesco Laurana,1
24,The A.W. Mellon Educational and Charitable Trust,Anonymous Artist,12
25,The A.W. Mellon Educational and Charitable Trust,Nicolas Lancret,1
26,The A.W. Mellon Educational and Charitable Trust,Andrea Mantegna,1
27,The A.W. Mellon Educational and Charitable Trust,Masaccio,1
28,The A.W. Mellon Educational and Charitable Trust,Masolino da Panicale,1
29,The A.W. Mellon Educational and Charitable Trust,Matteo di Giovanni,1
30,The A.W. Mellon Educational and Charitable Trust,Lippo Memmi,1
31,The A.W. Mellon Educational and Charitable Trust,Gabriel Metsu,1
32,The A.W. Mellon Educational and Charitable Trust,Antonis Mor,1
33,The A.W. Mellon Educational and Charitable Trust,Neroccio de' Landi,1
34,The A.W. Mellon Educational and Charitable Trust,Carel Fabritius,1
35,The A.W. Mellon Educational and Charitable Trust,Hans Leonard Schäufelein,1
36,The A.W. Mellon Educational and Charitable Trust,Nicolaes Maes,1
37,The A.W. Mellon Educational and Charitable Trust,Bernardino Luini,1
38,The A.W. Mellon Educational and Charitable Trust,Sir Thomas Lawrence,1
39,The A.W. Mellon Educational and Charitable Trust,Jan van Eyck,1
40,The A.W. Mellon Educational and Charitable Trust,Giovanni di Paolo,1
41,The A.W. Mellon Educational and Charitable Trust,Adriaen Hanneman,1
42,The A.W. Mellon Educational and Charitable Trust,Pieter de Hooch,1
43,The A.W. Mellon Educational and Charitable Trust,John Hoppner,1
44,The A.W. Mellon Educational and Charitable Trust,Michel Sittow,1
45,The A.W. Mellon Educational and Charitable Trust,Andrea del Castagno,1
46,The A.W. Mellon Educational and Charitable Trust,Cima da Conegliano,1
47,The A.W. Mellon Educational and Charitable Trust,John Constable,1
48,The A.W. Mellon Educational and Charitable Trust,Dutch 17th Century,3
49,The A.W. Mellon Educational and Charitable Trust,Grifo di Tancredi,3
50,The A.W. Mellon Educational and Charitable Trust,Desiderio da Settignano,3
51,The A.W. Mellon Educational and Charitable Trust,Raphael,3
52,The A.W. Mellon Educational and Charitable Trust,Sir Henry Raeburn,3
