,target,source,value
0,"Adele R. Levy Fund, Inc.",Edouard Manet,1
1,"Adele R. Levy Fund, Inc.",Odilon Redon,1
2,"Adele R. Levy Fund, Inc.",Auguste Renoir,1
3,Adolph Caspar Miller,Antwerp 16th Century,3
4,Adolph Caspar Miller,Lucas Cranach the Elder,1
5,Adolph Caspar Miller,Peter Gertner,2
6,Adolph Caspar Miller,Bartholomaeus Bruyn the Elder,1
7,Adolph Caspar Miller,Sir Anthony van Dyck,1
8,Agnes Ernst Meyer,Paul Cézanne,4
9,Agnes Ernst Meyer,Edouard Manet,1
10,Agnes Gordon Fuller Tack,George Fuller,2
11,Ailsa Mellon Bruce Fund,Herman van Swanevelt,3
12,Ailsa Mellon Bruce Fund,Georg Pencz,1
13,Ailsa Mellon Bruce Fund,Joos van Cleve,2
14,Ailsa Mellon Bruce Fund,Karel Dujardin,4
15,Ailsa Mellon Bruce Fund,Italian 16th Century,1
16,Ailsa Mellon Bruce Fund,Pietro Roselli,1
17,Ailsa Mellon Bruce Fund,Giuseppe Scolari,1
18,Ailsa Mellon Bruce Fund,Giovanni Pietro Possenti,1
19,Ailsa Mellon Bruce Fund,Nicolas Poussin,1
20,Ailsa Mellon Bruce Fund,Claude Lorrain,1
21,Ailsa Mellon Bruce Fund,Orazio Gentileschi,1
22,Ailsa Mellon Bruce Fund,Jean de Gourmont I,1
23,Ailsa Mellon Bruce Fund,Michelangelo,1
24,Ailsa Mellon Bruce Fund,Dutch 17th Century,1
25,Ailsa Mellon Bruce Fund,Italian 17th Century,1
26,"Albert M. Friend, Jr.",John Neagle,1
27,Alexander D. Thayer,Chester Harding,1
28,Andrew W. Mellon Fund,Jan Davidsz de Heem,1
29,Andrew W. Mellon Fund,Italian 16th Century,1
30,Andrew W. Mellon Fund,Benjamin West,1
31,Andrew W. Mellon Fund,Sir Peter Paul Rubens,1
32,Andrew W. Mellon Fund,George Bellows,15
33,Andrew W. Mellon Fund,John Singleton Copley,1
34,Anonymous,Pieter Jansz Saenredam,2
35,Anonymous,Peeter Bout,1
36,Anonymous,Daniel Nikolaus Chodowiecki,20
37,Anonymous,Netherlandish 16th Century,6
38,Anonymous,Karel Dujardin,4
39,Anonymous,Abraham de Bruyn,6
40,Anonymous,Allart van Everdingen,18
41,Arthur Sachs,Eugenio Lucas Villamil,1
42,Atlanta Art Association,Frederick T. Reynolds,1
43,Avalon Foundation,Jean-Baptiste-Camille Corot,1
44,Avalon Foundation,John Trumbull,1
45,Avalon Fund,Thomas Doughty,1
46,Avalon Fund,Jasper Francis Cropsey,1
47,Avalon Fund,George Luks,1
48,Avalon Fund,John Singleton Copley,1
49,Avalon Fund,William Michael Harnett,1
50,Avalon Fund,Leonid,1
51,Avalon Fund,John Singer Sargent,1
52,Brigadier General Charles Lionel Lindemann,Gustave Courbet,1
53,Chester Dale,Tsuguharu Foujita,2
54,Chester Dale,Mary Cassatt,17
55,Chester Dale,Gilbert Stuart,2
56,Chester Dale,John Wesley Paradise,1
57,Chester Dale,Frans van Doornik,2
58,Chester Dale,Guy Pène du Bois,4
59,Chester Dale,Gustave Courbet,4
60,Chester Dale,Jean-Baptiste-Camille Corot,4
61,Chester Dale,Henri Fantin-Latour,5
62,Chester Dale,Paul Gauguin,5
63,Chester Dale,Georges Braque,5
64,Chester Dale,Raoul Dufy,4
65,Chester Dale,Amedeo Modigliani,11
66,Chester Dale,Auguste Renoir,5
67,Chester Dale,Anonymous Artist,5
68,Chester Dale,Pablo Picasso,11
69,Chester Dale,Honoré Daumier,6
70,Chester Dale,Paul Cézanne,6
71,Chester Dale,André Derain,7
72,Chester Dale,Ignacio Zuloaga,5
73,Chester Dale,British 19th Century,2
74,Chester Dale,Henri de Toulouse-Lautrec,4
75,Chester Dale,George Bellows,3
76,Chester Dale,Jean-Gabriel Domergue,2
77,Chester Dale,Charles Georges Dufresne,2
78,Chester Dale,Salvador Dalí,2
79,Chester Dale,Roland Oudot,2
80,Chester Dale,Georges Rouault,2
81,Chester Dale,Jean-Jacques Henner,2
82,Chester Dale,Edouard Vuillard,3
83,Chester Dale,Edgar Degas,8
84,Chester Dale,Vincent van Gogh,3
85,Chester Dale,Camille Pissarro,3
86,Chester Dale,Berthe Morisot,3
87,Chester Dale,Eugène Delacroix,3
88,Chester Dale,Odilon Redon,3
89,Chester Dale,American 19th Century,3
90,Chester Dale,Adolphe Monticelli,1
91,Chester Dale,Eugène Boudin,2
92,Chester Dale,Claude Monet,10
93,Chester Dale,British 20th Century,1
94,Chester Dale,Charles-François Daubigny,1
95,Chester Dale,British 18th Century,1
96,Chester Dale,Emil Carlsen,1
97,Chester Dale,Jacques Lipchitz,1
98,Chester Dale,Marie Laurencin,1
99,Chester Dale,Roger de La Fresnaye,1
100,Chester Dale,Jean-Auguste-Dominique Ingres,1
101,Chester Dale,Robert Henri,1
102,Chester Dale,Jacques-Louis David,1
103,Chester Dale,Moïse Kisling,1
104,Chester Dale,Conrad Moricand,1
105,Chester Dale,Unknown 19th Century,1
106,Chester Dale,Pierre Andrieu,1
107,Chester Dale,Pierre Bonnard,1
108,Chester Dale,Childe Hassam,1
109,Chester Dale,Marcel Gromaire,1
110,Chester Dale,Louis-Léopold Boilly,1
111,Chester Dale,Ralph Albert Blakelock,1
112,Chester Dale,Charles Despiau,1
113,Chester Dale,Arthur B. Davies,1
114,Chester Dale,Pierre Puvis de Chavannes,1
115,Chester Dale,Giorgio De Chirico,1
116,Chester Dale,Augustin Théodule Ribot,1
117,Chester Dale,Jean François Raffaëlli,1
118,Chester Dale,Joseph Wright,1
119,Chester Dale,Julian Alden Weir,1
120,Chester Dale,Félix Vallotton,1
121,Chester Dale,Maurice Utrillo,1
122,Chester Dale,Alfred Stevens,1
123,Chester Dale,Théophile Alexandre Steinlen,1
124,Chester Dale,Henri Rousseau,1
125,Chester Dale,Henry Golden Dearth,1
126,Chester Dale,Diego Rivera,1
127,Chester Dale,Georges Rouget,1
128,Chester Dale,Théodore Gericault,1
129,Chester Dale,Jules Bastien-Lepage,1
130,Chester Dale,Frédéric Bazille,1
131,Chester Dale,Frederick Carl Frieseke,1
132,Chester Dale,George Luks,1
133,Chester Dale,American 20th Century,1
134,Coe Foundation,Flemish 16th Century,1
135,Coe Foundation,Unknown 16th Century Workshop,1
136,Coe Foundation,Tournai,1
137,Coe Foundation,Michiel van Miereveld,1
138,Coe Foundation,Thomas Gainsborough,1
139,Coe Foundation,Francis Cotes,1
140,Coe Foundation,Sir William Beechey,1
141,Committee of Italian Artists,B. Catarzi,1
142,Committee of Italian Artists,Antonio Berti,1
143,"Copley Amory, Jr.",John Singleton Copley,1
144,"Copley Amory, Jr.",Robert Thew,1
145,Count Cecil Charles Pecci-Blunt,Jean-Baptiste-Camille Corot,2
146,Curt Hugo Reisinger,Gari Melchers,1
147,Curt Hugo Reisinger,Albert Besnard,1
148,Curt Hugo Reisinger,Anders Zorn,1
149,David Keppel,Anonymous Artist,1
150,David Keppel,Cornelis Visscher,1
151,David Keppel,Egyptian Ptolemaic Period,1
152,Donald D. Shepard,Gari Melchers,1
153,Dr. Walter Timme,Anonymous Artist,1
154,Dr. Walter Timme,Rembrandt van Rijn,1
155,Dr. and Mrs. Maclyn E. Wade,Josef Albers,1
156,Dr. and Mrs. Maclyn E. Wade,Gemini G.E.L.,1
157,Dr. and Mrs. Maclyn E. Wade,Dan Gualdoni,1
158,Edith Stuyvesant Gerry,Edouard Manet,1
159,Edith Stuyvesant Gerry,James McNeill Whistler,2
160,Eugene S. Pleasonton,John Neagle,1
161,Ferdinand Lammot Belin Fund,John Singleton Copley,1
162,Frederick C. Oechsner,Bernhard A. Böhmer,1
163,Frederick C. Oechsner,Käthe Kollwitz,1
164,"Frederick Sturges, Jr.",John Frederick Kensett,1
165,"Fuller Foundation, Inc.",Joseph Mallord William Turner,1
166,"Fuller Foundation, Inc.",Sir Joshua Reynolds,1
167,"Fuller Foundation, Inc.",Thomas Gainsborough,1
168,Gemini G.E.L.,Frank Stella,1
169,Gemini G.E.L.,Gemini G.E.L.,1
170,Gemini G.E.L.,Charles Ritt,1
171,"George D. Widener, Jr.",Christophe Huet,6
172,"George D. Widener, Jr.",French 19th Century,6
173,"George D. Widener, Jr.",Unknown 18th Century,1
174,"George D. Widener, Jr.",French 20th Century,4
175,"George D. Widener, Jr.",Jacques Caffiéri,2
176,"George D. Widener, Jr.",Unknown 19th Century,2
177,"George D. Widener, Jr.",French 18th Century,4
178,"George D. Widener, Jr.",Nicolas Pineau,1
179,George Matthew Adams,Felix Régamey,2
180,George Matthew Adams,Alphonse Legros,384
181,George Matthew Adams,Aimé-Jules Dalou,1
182,George Matthew Adams,Auguste Lepère,1
183,George Matthew Adams,Charles Haslewood Shannon,1
184,George Matthew Adams,William Strang,1
185,Georges Wildenstein,Anonymous Artist,1
186,Georges Wildenstein,Antoine Watteau,1
187,Georgia O'Keeffe,Edward Steichen,1
188,Georgia O'Keeffe,Minor White,1
189,Georgia O'Keeffe,Alfred Stieglitz,438
190,Georgia O'Keeffe,Various Artists,14
191,German People,Rudolf Weissauer,1
192,German People,Various Artists,1
193,German People,Max Unold,1
194,German People,Ernst Wilhelm Nay,1
195,German People,Heinz Nickel,1
196,German People,Walter Nikusch,1
197,German People,Robert Pudlich,2
198,German People,Wolfgang Kreutter,2
199,German People,Rudolf Kügler,2
200,German People,Karl Rössing,2
201,German People,Conrad Westpfahl,2
202,German People,Gerth Biese,2
203,German People,Karin Schepers,1
204,German People,Diether Ritzert,1
205,German People,Erich Rhein,1
206,German People,Willi Probst,1
207,German People,Ernst Oberhoff,1
208,German People,Gertraud Boelter-Evers,2
209,German People,Gunther Bundschuh,2
210,German People,Rudolf Werner Ackermann,2
211,German People,Carl-Heinz Kliemann,2
212,German People,Paul Wunderlich,1
213,German People,Otto Eglau,2
214,German People,Wolfgang Frager,1
215,German People,Gerda Engelke,1
216,German People,Franz Neundinger,1
217,German People,Magda Felicitas Auer,1
218,German People,Hans Achenbach,1
219,German People,Emil Nolde,1
220,German People,Gerhard Marcks,1
221,German People,Erich Heckel,1
222,German People,Margarethe von Stockhausen,1
223,German People,Willi Titze,1
224,German People,Rolf Muller,1
225,German People,Hildegard Mossel,1
226,German People,Erhart Mitzlaff,1
227,German People,Georg Meistermann,1
228,German People,Dietmar Lemcke,1
229,German People,Erich Kohout,1
230,German People,Hubert Klessen,1
231,German People,Gerta Kleist,1
232,German People,Peter Kleinschmidt,1
233,German People,Wolf Hoffmann,1
234,German People,Gunther Heinemann,1
235,German People,Willi Geiger,1
236,German People,Fathwinter,1
237,German People,Otto Dix,1
238,German People,Gottfried Diehl,1
239,German People,Wilhelm Grimm,2
240,Graphicstudio,Vito Acconci,1
241,Graphicstudio,Graphicstudio,1
242,Harry Waldron Havemeyer,Johannes Vermeer,1
243,Horace Havemeyer,Edouard Manet,1
244,"Horace Havemeyer, Jr.",Johannes Vermeer,1
245,Howard Sturges,Francesco Guardi,3
246,Howard Sturges,Giovanni Battista Tiepolo,2
247,Howard Sturges,James Millar,2
248,Howard Sturges,Giacomo Guardi,4
249,Howard Sturges,Anonymous Artist,4
250,Howard Sturges,Anton Raphael Mengs,2
251,Howard Sturges,Thomas Gainsborough,1
252,Howard Sturges,John Hoppner,1
253,Howard Sturges,Pierre Paul Prud'hon,1
254,Howard Sturges,Antoine Watteau,1
255,Howard Sturges,Christian Bérard,1
256,Howard Sturges,Richard Cosway,1
257,Howard Sturges,Gabriel de Saint-Aubin,1
258,Howard Sturges,Francesco Tironi,1
259,Howard Sturges,Augustin de Saint-Aubin,1
260,Howard Sturges,British 18th Century,1
261,Howard Sturges,French 18th Century,1
262,Howard Sturges,Thomas Barker,1
263,Howard Sturges,Giustino Menescardi,1
264,Howard Sturges,Salvador Dalí,1
265,Howard Sturges,Lev Samoilovich Bakst,1
266,Howard Sturges,Willem van de Velde the Younger,3
267,James Hazen Hyde,Lodewijck van Schoor,1
268,James Hazen Hyde,Pieter Spierincx,1
269,James Hazen Hyde,Albert Auwercx,1
270,Lady Maud Marriott,Florentine 15th Century,1
271,Lady Roxana Wentworth Vereker,Francis Bicknell Carpenter,1
272,Lessing Julius Rosenwald,Nora Spicer Unwin,1
273,Lessing Julius Rosenwald,Alexander M. Bing,1
274,Lessing Julius Rosenwald,Marsden Hartley,1
275,Lessing Julius Rosenwald,Jean-François Millet,1
276,Lessing Julius Rosenwald,William Rogers,14
277,Lessing Julius Rosenwald,Pierre Gustave Eugene Staal,1
278,Lessing Julius Rosenwald,Adriaen Hanneman,1
279,Lessing Julius Rosenwald,Anthony Walker,1
280,Lessing Julius Rosenwald,Sylvia Wald,1
281,Lessing Julius Rosenwald,Ralston Crawford,1
282,Lessing Julius Rosenwald,William Blake,1
283,Lessing Julius Rosenwald,Philippe de Champaigne,1
284,Lessing Julius Rosenwald,François Clouet,1
285,Lessing Julius Rosenwald,Gardner Cox,1
286,Lessing Julius Rosenwald,George Bellows,1
287,Lessing Julius Rosenwald,Paul Rosenberg,1
288,Lessing Julius Rosenwald,Jacopo Bassano,1
289,Lessing Julius Rosenwald,Charles Emmanuel Patas,14
290,Lessing Julius Rosenwald,Domenico Beccafumi,1
291,Lessing Julius Rosenwald,Girolamo da Treviso II,1
292,Lessing Julius Rosenwald,Hubert François Gravelot,1
293,Lessing Julius Rosenwald,W. Krauskopf,1
294,Lessing Julius Rosenwald,Hans Bol,1
295,Lessing Julius Rosenwald,Frank Brangwyn,1
296,Lessing Julius Rosenwald,Louise Boyer,1
297,Lessing Julius Rosenwald,Jan Both,1
298,Lessing Julius Rosenwald,French 18th Century,14
299,Lessing Julius Rosenwald,Muhály Munkácsy,1
300,Lessing Julius Rosenwald,Karl Hoff,1
301,Lessing Julius Rosenwald,C. Fröschel,1
302,Lessing Julius Rosenwald,Mary Cassatt,17
303,Lessing Julius Rosenwald,W. Woerne,1
304,Lessing Julius Rosenwald,Thomas Cecil,14
305,Lessing Julius Rosenwald,Frans van den Wyngaerde,1
306,Lessing Julius Rosenwald,John Sloan,1
307,Lessing Julius Rosenwald,Ernst Ludwig Kirchner,1
308,Lessing Julius Rosenwald,Lodovico Carracci,15
309,Lessing Julius Rosenwald,John Hoppner,1
310,Lessing Julius Rosenwald,Jean Dambrun,17
311,Lessing Julius Rosenwald,Sebastiano del Piombo,1
312,Lessing Julius Rosenwald,Hans Leonard Schäufelein,1
313,Lessing Julius Rosenwald,Lienhart Ysenhut,1
314,Lessing Julius Rosenwald,Johann Ziegler,1
315,Lessing Julius Rosenwald,Benjamin Wright,1
316,Lessing Julius Rosenwald,Walter Williams,1
317,Lessing Julius Rosenwald,Heinrich Wolff,1
318,Lessing Julius Rosenwald,Adriaen van der Werff,1
319,Lessing Julius Rosenwald,Schelte Adams Bolswert,1
320,Lessing Julius Rosenwald,Jan van der Heyden,1
321,Lessing Julius Rosenwald,Alberto Giacometti,1
322,Lessing Julius Rosenwald,Michiel van Miereveld,15
323,Lessing Julius Rosenwald,Terry Haass,1
324,Lessing Julius Rosenwald,Carlo Maratta,1
325,Lessing Julius Rosenwald,Reginald Marsh,1
326,Lessing Julius Rosenwald,Joseph Wright,1
327,Lessing Julius Rosenwald,Hans Holbein the Younger,15
328,Lessing Julius Rosenwald,F. L. Meyer,1
329,Lessing Julius Rosenwald,Francesco Piranesi,16
330,Lessing Julius Rosenwald,Lucas Emil Vorsterman,16
331,Lessing Julius Rosenwald,Anders Zorn,1
332,Lessing Julius Rosenwald,Auguste Clot,16
333,Lessing Julius Rosenwald,Leonard Baskin,1
334,Lessing Julius Rosenwald,Melchior Lorch,1
335,Lessing Julius Rosenwald,J. Burger,1
336,Lessing Julius Rosenwald,Clodion,1
337,Lessing Julius Rosenwald,Hans Vischer,1
338,Lessing Julius Rosenwald,Romas Viesulas,1
339,Lessing Julius Rosenwald,William Ward,1
340,Lessing Julius Rosenwald,Janet Elizabeth Turner,1
341,Lessing Julius Rosenwald,Willem Jacobsz Delff,10
342,Lessing Julius Rosenwald,Joseph Weisz,1
343,Lessing Julius Rosenwald,Emil Weddige,1
344,Lessing Julius Rosenwald,Franklin Chenault Watkins,1
345,Lessing Julius Rosenwald,Roger Vieillard,1
346,Lessing Julius Rosenwald,Imre Reiner,17
347,Lessing Julius Rosenwald,Maxime Lalanne,1
348,Lessing Julius Rosenwald,Ventura Salimbeni,1
349,Lessing Julius Rosenwald,Salvator Rosa,1
350,Lessing Julius Rosenwald,Christoph Bockstorfer,1
351,Lessing Julius Rosenwald,Stow Wengenroth,1
352,Lessing Julius Rosenwald,Gerard Valck,1
353,Lessing Julius Rosenwald,Maerten van Heemskerck,1
354,Lessing Julius Rosenwald,Abraham Bosse,15
355,Lessing Julius Rosenwald,Hanns Lautensack,15
356,Lessing Julius Rosenwald,Cornelis Vermeulen,1
357,Lessing Julius Rosenwald,J. Klaus,1
358,Lessing Julius Rosenwald,Jerome Kaplan,1
359,Lessing Julius Rosenwald,Justus van Verus,1
360,Lessing Julius Rosenwald,Leo Katz,1
361,Lessing Julius Rosenwald,Cock van Gent,1
362,Lessing Julius Rosenwald,Hubert Salentin,1
363,Lessing Julius Rosenwald,Kerr Eby,1
364,Lessing Julius Rosenwald,Allart van Everdingen,1
365,Lessing Julius Rosenwald,Paul Froelich,1
366,Lessing Julius Rosenwald,Emil Ganso,1
367,Lessing Julius Rosenwald,Paul Gavarni,1
368,Lessing Julius Rosenwald,Bernard Picart,1
369,Lessing Julius Rosenwald,John Piper,1
370,Lessing Julius Rosenwald,Polidoro da Caravaggio,1
371,Lessing Julius Rosenwald,Rudy Pozzatti,1
372,Lessing Julius Rosenwald,John Skinner Prout,1
373,Lessing Julius Rosenwald,C. E. Buchel,1
374,Lessing Julius Rosenwald,René Genis,1
375,Lessing Julius Rosenwald,French 19th Century,2
376,Lessing Julius Rosenwald,Associated American Artists,1
377,Lessing Julius Rosenwald,Diego Velázquez,2
378,Lessing Julius Rosenwald,Wilhelm Lehmbruck,2
379,Lessing Julius Rosenwald,Jean-Baptiste Greuze,2
380,Lessing Julius Rosenwald,Juan Gris,2
381,Lessing Julius Rosenwald,Marcel Gromaire,2
382,Lessing Julius Rosenwald,Jean-Auguste-Dominique Ingres,2
383,Lessing Julius Rosenwald,Jacques Bellange,2
384,Lessing Julius Rosenwald,Lorenzo Monaco,2
385,Lessing Julius Rosenwald,Fernand Léger,2
386,Lessing Julius Rosenwald,Rico Lebrun,2
387,Lessing Julius Rosenwald,Karl Schrag,2
388,Lessing Julius Rosenwald,Titian,2
389,Lessing Julius Rosenwald,Charles Heath,2
390,Lessing Julius Rosenwald,Israel Henriet,2
391,Lessing Julius Rosenwald,Peter Grippe,2
392,Lessing Julius Rosenwald,Michiel van der Gucht,2
393,Lessing Julius Rosenwald,Abraham P. Hankins,2
394,Lessing Julius Rosenwald,Yōzō Hamaguchi,2
395,Lessing Julius Rosenwald,William Hogarth,2
396,Lessing Julius Rosenwald,Jaspar Isacsz,2
397,Lessing Julius Rosenwald,Valentine Green,2
398,Lessing Julius Rosenwald,John Faber II,2
399,Lessing Julius Rosenwald,Jeremias Falck,2
400,Lessing Julius Rosenwald,Richard Earlom,2
401,Lessing Julius Rosenwald,Joseph Hecht,2
402,Lessing Julius Rosenwald,Jacopo Tintoretto,2
403,Lessing Julius Rosenwald,Alfred Sisley,2
404,Lessing Julius Rosenwald,Théodore Rousseau,1
405,Lessing Julius Rosenwald,John Varley,2
406,Lessing Julius Rosenwald,Pieter de Bailliu,2
407,Lessing Julius Rosenwald,Julia Andrews,2
408,Lessing Julius Rosenwald,Francesco Bartolozzi,2
