,target,source,value
0,Ailsa Mellon Bruce Fund,Jean-Jacques de Boissieu,1
1,Ailsa Mellon Bruce Fund,Guercino,1
2,Ailsa Mellon Bruce Fund,Bartholomaeus Spranger,1
3,Ailsa Mellon Bruce Fund,Johann Meyrl,1
4,Ailsa Mellon Bruce Fund,German 18th Century,5
5,Ailsa Mellon Bruce Fund,Johann Daniel Herz the Elder,1
6,Ailsa Mellon Bruce Fund,Camillo Procaccini,1
7,Ailsa Mellon Bruce Fund,John Glover,1
8,Ailsa Mellon Bruce Fund,Hendrick Goltzius,2
9,Ailsa Mellon Bruce Fund,Dominic Artaria,1
10,Chester Dale,American 19th Century,3
11,Chester Dale,Jean Siméon Chardin,2
12,Chester Dale,William Merritt Chase,1
13,Chester Dale,Anonymous Flemish 15th Century,2
14,Chester Dale,French 16th Century,1
15,Chester Dale,Anonymous Artist,4
16,Chester Dale,French 18th Century,1
17,Chester Dale,German 16th Century,1
18,Chester Dale,Netherlandish 16th Century,1
19,Chester Dale,Maarten de Vos,1
20,Chester Dale,Louis-Léopold Boilly,1
21,Chester Dale,Ralph Albert Blakelock,1
22,Chester Dale,François Boucher,1
23,Chester Dale,Thomas Sully,1
24,Chester Dale,Sir Peter Paul Rubens,2
25,Chester Dale,Willem Kalf,1
26,Chester Dale,El Greco,1
27,Chester Dale,Francisco de Zurbarán,1
28,Chester Dale,American 18th Century,2
29,Chester Dale,Jacopo Tintoretto,1
30,Dr. Toni G. Marcy,Max Liebermann,3
31,Dr. and Mrs. Donald Saff,Jim Dine,1
32,Dr. and Mrs. Maclyn E. Wade,Gemini G.E.L.,2
33,Dr. and Mrs. Maclyn E. Wade,Dan Gualdoni,1
34,Dr. and Mrs. Maclyn E. Wade,John Dill,1
35,Dr. and Mrs. Maclyn E. Wade,Josef Albers,2
36,Duncan Phillips,Augustus Vincent Tack,1
37,Duncan Phillips,Honoré Daumier,1
38,Frederic A. Delano,Charles Loring Elliott,1
39,J.H. Whittemore Company,James McNeill Whistler,2
40,Joseph E. Widener,Charles Michel-Ange Challe,1
41,Joseph E. Widener,Claude Hoin,1
42,Joseph E. Widener,Jacques-Philippe Caresme,1
43,Joseph E. Widener,Giulio Campagnola,1
44,Joseph E. Widener,Jacques Nicolas Tardieu,1
45,Joseph E. Widener,Francois-Robert Ingouf,1
46,Joseph E. Widener,Alexandre Tardieu,1
47,Joseph E. Widener,Jacques-François-Joseph Swebach-Desfontaines,1
48,Joseph E. Widener,Jean Joseph Bastier de Bez,1
49,Joseph E. Widener,Jean Jacques Pasquier,8
50,Joseph E. Widener,Jean-Jacques Hubert,1
51,Joseph E. Widener,Pietro Perugino,1
52,Joseph E. Widener,Jean-Baptiste Isabey,1
53,Joseph E. Widener,Romain Girard,1
54,Joseph E. Widener,Charles Lepeintre,1
55,Joseph E. Widener,Lemesle,1
56,Joseph E. Widener,Yves-Marie Le Gouaz,1
57,Joseph E. Widener,Francois-Germain Aliamet,9
58,Joseph E. Widener,Sébastien Le Clerc I,1
59,Joseph E. Widener,Jean Francois Rousseau,9
60,Joseph E. Widener,Jacques Sébastien Le Clerc,1
61,Joseph E. Widener,Pierre Larrieu,1
62,Joseph E. Widener,Joseph Kranzinger,1
63,Joseph E. Widener,Francoise Basset,1
64,Joseph E. Widener,François Joullain,1
65,Joseph E. Widener,Jean-Pierre-Marie Jazet,1
66,Joseph E. Widener,Claude-Donat Jardinier,1
67,Joseph E. Widener,Florentine 16th Century,8
68,Joseph E. Widener,Pierre-Charles Ingouf,1
69,Joseph E. Widener,Jacques Aliamet,8
70,Joseph E. Widener,Richard Brookshaw,1
71,Joseph E. Widener,Lefèvre,8
72,Joseph E. Widener,Netherlandish 18th Century,8
73,Joseph E. Widener,René Gaillard,8
74,Joseph E. Widener,Jacques-Philippe Le Bas,8
75,Joseph E. Widener,"Andrea Briosco, called Riccio",7
76,Joseph E. Widener,Dominique Sornique,7
77,Joseph E. Widener,French 16th Century,7
78,Joseph E. Widener,Alfred André,7
