,target,source,value
0,Aaron Fink,Aaron Fink,8
1,Ailsa Mellon Bruce Fund,Donald Judd,8
2,Ailsa Mellon Bruce Fund,Roy C. Judd,4
3,Ailsa Mellon Bruce Fund,Richard Tuttle,70
4,Ailsa Mellon Bruce Fund,Jacob Kainen,8
5,Ailsa Mellon Bruce Fund,Sheigla Hartman,3
6,Ailsa Mellon Bruce Fund,Agnes Denes,5
7,Ailsa Mellon Bruce Fund,Frank Stella,5
8,Ailsa Mellon Bruce Fund,Christo,5
9,Ailsa Mellon Bruce Fund,Lynda Benglis,9
10,Ailsa Mellon Bruce Fund,Sylvia Plimack Mangold,9
11,Ailsa Mellon Bruce Fund,Richard Artschwager,24
12,Ailsa Mellon Bruce Fund,Man Ray,10
13,Ailsa Mellon Bruce Fund,Robert Mangold,39
14,Ailsa Mellon Bruce Fund,Carl Andre,9
15,Ailsa Mellon Bruce Fund,Sol LeWitt,39
16,Ailsa Mellon Bruce Fund,Joel Shapiro,4
17,Ailsa Mellon Bruce Fund,Styria Studio,11
18,Ailsa Mellon Bruce Fund,Castelli Graphics,10
19,Ailsa Mellon Bruce Fund,Andy Warhol,10
20,Alfred H. Moses and Fern M. Schad Fund,Karen Knorr,4
21,Alfred H. Moses and Fern M. Schad Fund,Graham Smith,5
22,Alfred H. Moses and Fern M. Schad Fund,Anthony Barboza,3
23,Alfred H. Moses and Fern M. Schad Fund,Sirkka-Liisa Konttinen,3
24,Alfred H. Moses and Fern M. Schad Fund,Darryl Cowherd,6
25,Alfred H. Moses and Fern M. Schad Fund,Louis Draper,3
26,Alfred H. Moses and Fern M. Schad Fund,Chester Higgins Jr.,3
27,Alfred H. Moses and Fern M. Schad Fund,Chris Killip,3
28,Alfred H. Moses and Fern M. Schad Fund,Mikki Ferrill,3
29,Ames Charitable Trust Fund,Richard Misrach,3
30,Andrew Lugg,Lynne Cohen,3
31,Anonymous,Anni Albers,4
32,Anonymous,David Levinthal,15
33,Anonymous,Joseph Cornell,4
34,Anonymous,James McCracken Jr.,83
35,Anonymous,"Brooke Alexander, Inc.",4
36,Anonymous,Christo,39
37,Anonymous,Ives-Sillman,4
38,Anonymous,Sirocco Screenprints,4
39,Anonymous,Sid Kaplan,4
40,Anonymous,Robert Frank,17
41,Anonymous,Josef Albers,4
42,Anonymous,Richard Misrach,23
43,Anonymous,Jonathan Grant Meader,5
44,Anonymous,Robert Bergman,18
45,Anonymous,John Altoon,6
46,Anthony Podesta,Larry Fink,188
47,Arakawa,Graphicstudio,10
48,Arakawa,Arakawa,10
49,Avalon Fund,Garry Winogrand,6
50,Avalon Fund,John Wilson,6
51,Avalon Fund,James Castle,20
52,Barbara Fendrick,Sam Gilliam,4
53,Benjamin B. Smith,Robert Bigelow,7
54,Benjamin B. Smith,Stuart Henderson,8
55,Benjamin B. Smith,Peter Carlson,3
56,Benjamin B. Smith,Ellsworth Kelly,47
57,Benjamin B. Smith,Ronald Davis,15
58,Benjamin B. Smith,Richard Ewen,14
59,Benjamin B. Smith,Barbara Thomason,14
60,Benjamin B. Smith,Keith Sonnier,8
61,Benjamin B. Smith,Gemini G.E.L.,217
62,Benjamin B. Smith,Kenneth Tyler,14
63,Benjamin B. Smith,Robert de la Rocha,9
64,Benjamin B. Smith,Bruce Nauman,9
65,Benjamin B. Smith,Mark Stock,9
66,Benjamin B. Smith,Ed Ruscha,6
67,Benjamin B. Smith,William Crutchfield,3
68,Benjamin B. Smith,Frank Stella,30
69,Benjamin B. Smith,Timothy Isham,7
70,Benjamin B. Smith,Dan Gualdoni,3
71,Benjamin B. Smith,Adolph Rischner,3
72,Benjamin B. Smith,Joe Goode,5
73,Benjamin B. Smith,Robert Graham,3
74,Benjamin B. Smith,Richard Wilke,4
75,Benjamin B. Smith,Josef Albers,19
76,Benjamin B. Smith,Richard Serra,3
77,Benjamin B. Smith,Ron Adams,20
78,Benjamin B. Smith,Robert Rauschenberg,28
79,Benjamin B. Smith,Serge Lozingot,28
80,Benjamin B. Smith,Robert Dressen,4
81,Benjamin B. Smith,Ron Olds,14
82,Benjamin B. Smith,Bob Marks,5
83,Benjamin B. Smith,Sam Francis,7
84,Benjamin B. Smith,Edward Henderson,17
85,Benjamin B. Smith,Timothy Huchthausen,7
86,Benjamin B. Smith,Patti Dunham,4
87,Benjamin B. Smith,Robert Motherwell,7
88,Benjamin B. Smith,James Webb,40
89,Benjamin B. Smith,Charles Ritt,18
90,Benjamin B. Smith,Octavio Pereira,3
91,Benjamin B. Smith,Robert Petersen,3
92,Benjamin B. Smith,Paul Clinton,5
93,Benjamin B. Smith,Daniel Freeman,22
94,Benjamin B. Smith,Roy Lichtenstein,16
95,Benjamin B. Smith,Ken Price,6
96,Benjamin B. Smith,Jeff Sanders,9
97,Benjamin B. Smith,Ron McPherson,26
98,Benjamin B. Smith,Bernard Bleha,4
99,Benjamin B. Smith,Jeff Wasserman,34
100,Benjamin B. Smith,Gary Reams,13
101,Benjamin B. Smith,George Page,11
102,Benjamin B. Smith,Robert Knisel,23
103,Benjamin B. Smith,Andrew Vlady,7
104,Benjamin B. Smith,Anthony Zepeda,11
105,Beth Callahan,Kenneth Callahan,179
106,Bill Hodges Gallery,H.K.L. Ltd.,5
107,Bill Hodges Gallery,William T. Williams,5
108,Blavatnik Family Foundation,Teresa Engle Schirmer,6
109,Blavatnik Family Foundation,Garry Winogrand,6
110,Brian Halsey,Brian Halsey,7
111,Brian and Paula Ballo Dailey,Guy de Cointet,3
112,Brigitte Freed,Magnum Photos,34
113,Brigitte Freed,Leonard Freed,34
114,Charina Endowment Fund,Shawn Walker,3
115,Charina Endowment Fund,Michael H. Stone,3
116,Charina Endowment Fund,Michael Jang,3
117,Charina Endowment Fund,John Divola,15
118,Charles J. Tanenbaum,Agnes Denes,5
119,Charles S. and Elynne B. Zucker,Dave Heath,4
120,Christo,Christo,6
121,Christo,Wolfgang Volz,6
122,Chuck Close,Graphicstudio,6
123,Chuck Close,Chuck Close,6
124,Collectors Committee,Emma Amos,3
125,Collectors Committee,Fred Genis,21
126,Collectors Committee,Roger Brown,3
127,Collectors Committee,Heavy Industry Publications,74
128,Collectors Committee,Hollander Graphic Workshop,15
129,Collectors Committee,Ed Ruscha,77
130,Collectors Committee,Robert Frank,8
131,Collectors Committee,James Sheehy,21
132,Collectors Committee,Francesca Woodman,3
133,Collectors Committee,Lois Long,11
134,Collectors Committee,Robert Morris,4
135,Collectors Committee,John Cage,11
136,Collectors Committee,Ana Mendieta,3
137,Collectors Committee,Brice Marden,26
138,Collectors Committee,Jennifer Melby,26
139,Collectors Committee,Eugene Stuttman,13
140,Collectors Committee,Andy Warhol,13
141,Collectors Committee,Lee Friedlander,13
142,Collectors Committee,Garry Winogrand,13
143,Collectors Committee,Richard Benson,13
144,Collectors Committee,John Deeks,13
145,Collectors Committee,Kathleen Caraccio,13
146,Collectors Committee,Catherine Carine,13
147,Collectors Committee,Burton Richard Wolf,13
148,Collectors Committee,John Berg,13
149,Collectors Committee,Robert Heinecken,5
150,Collectors Committee,Arnulf Rainer,3
151,Collectors Committee,Richard Kenerson,13
152,Collectors Committee,James Turrell,8
153,Collectors Committee,Irwin Hollander,9
154,Collectors Committee,Kelpra Studio,51
155,Collectors Committee,Richard Misrach,4
156,Collectors Committee,R. B. Kitaj,51
157,Collectors Committee,Marlborough Gallery,51
158,Collectors Committee,Alexander Calder,5
159,Collectors Committee,Schellenberg FL,51
160,Collectors Committee,Chuck Endo,8
161,Collectors Committee,Peter Kneubühler,8
162,Collectors Committee,Mario Diacono,8
163,Collectors Committee,Christina Ramberg,6
164,Collectors Committee,Robert Adams,4
165,Collectors Committee,Josep Royo,3
166,Collectors Committee,Joan Miró,3
167,Corcoran Gallery of Art,Thomas Joshua Cooper,5
168,Corcoran Gallery of Art,Ives-Sillman,36
169,Corcoran Gallery of Art,Arthur Tress,30
170,Corcoran Gallery of Art,Tod Papageorge,3
171,Corcoran Gallery of Art,Jack Bush,3
172,Corcoran Gallery of Art,Peter Milton,5
173,Corcoran Gallery of Art,Gene Kloss,4
174,Corcoran Gallery of Art,Robert Frank,5
175,Corcoran Gallery of Art,Rosalind Solomon,4
176,Corcoran Gallery of Art,Tanglewood Press,5
177,Corcoran Gallery of Art,Philip Pearlstein,3
178,Corcoran Gallery of Art,John Gossage,24
179,Corcoran Gallery of Art,White Ink Ltd.,4
180,Corcoran Gallery of Art,Josef Albers,38
181,Corcoran Gallery of Art,William Christenberry,17
182,Corcoran Gallery of Art,Rupert García,16
183,Corcoran Gallery of Art,Sandy Skoglund,5
184,Corcoran Gallery of Art,Henry Chalfant,29
185,Corcoran Gallery of Art,Seymour Lipton,5
186,Corcoran Gallery of Art,Roy DeCarava,5
187,Corcoran Gallery of Art,"Harry N. Abrams, Inc.",35
188,Corcoran Gallery of Art,Milton Rogovin,4
189,Corcoran Gallery of Art,Graphis,15
190,Corcoran Gallery of Art,"The Workshop, Inc.",5
191,Corcoran Gallery of Art,Linda Connor,5
192,Corcoran Gallery of Art,William Eggleston,28
193,Corcoran Gallery of Art,Jan Groover,4
194,Corcoran Gallery of Art,Rockne Krebs,4
195,Corcoran Gallery of Art,Kevin MacDonald,4
196,Corcoran Gallery of Art,Frank Stella,5
197,Corcoran Gallery of Art,Medallic Art Company,31
198,Corcoran Gallery of Art,Benedict J. Fernandez,22
199,Corcoran Gallery of Art,Magnum Photos,4
200,Corcoran Gallery of Art,Joan Cassis,5
201,Corcoran Gallery of Art,William Dole,5
202,Corcoran Gallery of Art,Jo Ann Callis,4
203,Corcoran Gallery of Art,Jörg Schmeisser,4
204,Corcoran Gallery of Art,Barbara Kasten,4
205,Corcoran Gallery of Art,R. B. Kitaj,15
206,Corcoran Gallery of Art,Volker Seding,31
207,Corcoran Gallery of Art,Harry Callahan,15
