,target,source,value
0,Adolph Caspar Miller Fund,John La Farge,1
1,Agnes Ernst Meyer,Auguste Rodin,1
2,Agnes Ernst Meyer,John Marin,6
3,Agnes Ernst Meyer,Antoine-Louis Barye,1
4,Agnes Ernst Meyer,Charles Despiau,1
5,Agnes Ernst Meyer,Auguste Renoir,1
6,Agnes Ernst Meyer,Constantin Brâncuși,2
7,Ailsa Mellon Bruce Fund,Jacob Jordaens,1
8,Ailsa Mellon Bruce Fund,Anonymous Artist,1
9,Ailsa Mellon Bruce Fund,Hendrick Avercamp,1
10,Ailsa Mellon Bruce Fund,Corneille de Lyon,1
11,Ailsa Mellon Bruce Fund,Paul Cézanne,1
12,Ailsa Mellon Bruce Fund,Georges Braque,1
13,Ailsa Mellon Bruce Fund,Canaletto,1
14,Ailsa Mellon Bruce Fund,Pietro Testa,8
15,Ailsa Mellon Bruce Fund,Giovanni Battista Piranesi,9
16,Ailsa Mellon Bruce Fund,Netherlandish 17th Century,9
17,Ailsa Mellon Bruce Fund,Egon Schiele,9
18,Ailsa Mellon Bruce Fund,Mary Cassatt,1
19,Ailsa Mellon Bruce Fund,Juan de Flandes,1
20,Ailsa Mellon Bruce Fund,Jean-Baptiste Joseph Pater,1
21,Ailsa Mellon Bruce Fund,Lorenzo Lotto,1
22,Ailsa Mellon Bruce Fund,Quentin Massys,1
23,Ailsa Mellon Bruce Fund,Pierre Bonnard,1
24,Ailsa Mellon Bruce Fund,George Inness,1
25,Ailsa Mellon Bruce Fund,Polidoro da Caravaggio,8
26,Ailsa Mellon Bruce Fund,Jan van der Heyden,1
27,Ailsa Mellon Bruce Fund,William Stanley Haseltine,1
28,Ailsa Mellon Bruce Fund,Alfred Rethel,8
29,Ailsa Mellon Bruce Fund,Lyonel Feininger,1
30,Ailsa Mellon Bruce Fund,Paul Gauguin,1
31,Ailsa Mellon Bruce Fund,Albert Gleizes,1
32,Ailsa Mellon Bruce Fund,Jan Gossaert,1
33,Ailsa Mellon Bruce Fund,Juan Gris,1
34,Ailsa Mellon Bruce Fund,Nicolas de Largillierre,1
35,Ailsa Mellon Bruce Fund,Adriaen van Ostade,1
36,Ailsa Mellon Bruce Fund,"Jacopo Zanguidi, called Bertoia",1
37,Ailsa Mellon Bruce Fund,Domenico Beccafumi,1
38,Ailsa Mellon Bruce Fund,Donato Bramante,1
39,Ailsa Mellon Bruce Fund,Andries Both,1
40,Ailsa Mellon Bruce Fund,Giulio Carpioni,1
41,Ailsa Mellon Bruce Fund,Eugène Carrière,1
42,Ailsa Mellon Bruce Fund,Nicolò della Casa,1
43,Ailsa Mellon Bruce Fund,Nicolò Boldrini,1
44,Ailsa Mellon Bruce Fund,Pierre Brebiette,1
45,Ailsa Mellon Bruce Fund,Justus van Verus,1
46,Ailsa Mellon Bruce Fund,Adriaen van de Velde,1
47,Ailsa Mellon Bruce Fund,Various Artists,1
48,Ailsa Mellon Bruce Fund,Suzanne Valadon,1
49,Ailsa Mellon Bruce Fund,Wallerant Vaillant,1
50,Ailsa Mellon Bruce Fund,Frederick Bloemaert,1
51,Ailsa Mellon Bruce Fund,Michelangelo,1
52,Ailsa Mellon Bruce Fund,Nicolaas Verkolje,1
53,Ailsa Mellon Bruce Fund,Max Beckmann,1
54,Ailsa Mellon Bruce Fund,Giovanni Britto,1
55,Ailsa Mellon Bruce Fund,Adriaen Collaert,12
56,Ailsa Mellon Bruce Fund,Federico Barocci,1
57,Ailsa Mellon Bruce Fund,Parmigianino,9
58,Ailsa Mellon Bruce Fund,Giovanni Paolo Panini,1
59,Ailsa Mellon Bruce Fund,Bartolomeo Roverio,1
60,Ailsa Mellon Bruce Fund,J. Robillart,1
61,Ailsa Mellon Bruce Fund,Fritz Gurlitt,1
62,Ailsa Mellon Bruce Fund,Hendrick Goltzius,12
63,Ailsa Mellon Bruce Fund,Frederick Goulding,1
64,Ailsa Mellon Bruce Fund,Lazzerini Workshop,1
65,Ailsa Mellon Bruce Fund,Remoldus Eynhoudts,1
66,Ailsa Mellon Bruce Fund,Cornelis Bega,11
67,Ailsa Mellon Bruce Fund,Ludwig Büsinck,1
68,Ailsa Mellon Bruce Fund,Abraham de Bruyn,1
69,Ailsa Mellon Bruce Fund,Jan Gerritsz van Bronckhorst,1
70,Ailsa Mellon Bruce Fund,Camillo Boccaccino,1
71,Ailsa Mellon Bruce Fund,Esaias van de Velde I,8
72,Ailsa Mellon Bruce Fund,Roelant Roghman,7
73,Ailsa Mellon Bruce Fund,Raphael,7
74,Ailsa Mellon Bruce Fund,Dutch 17th Century,2
75,Ailsa Mellon Bruce Fund,Cornelis Floris II,2
76,Ailsa Mellon Bruce Fund,Jacob Matham,2
77,Ailsa Mellon Bruce Fund,Biagio Pupini,2
78,Ailsa Mellon Bruce Fund,Andrea De Leone,2
79,Ailsa Mellon Bruce Fund,Girolamo Muziano,2
80,Ailsa Mellon Bruce Fund,German 16th Century,2
81,Ailsa Mellon Bruce Fund,Gian Antonio Guardi,2
82,Ailsa Mellon Bruce Fund,German 14th Century,2
83,Ailsa Mellon Bruce Fund,French 17th Century,2
84,Ailsa Mellon Bruce Fund,Anthonie Waterloo,2
85,Ailsa Mellon Bruce Fund,Netherlandish 16th Century,3
86,Ailsa Mellon Bruce Fund,Italian 17th Century,3
87,Ailsa Mellon Bruce Fund,Cornelis Schut I,3
88,Ailsa Mellon Bruce Fund,Jacques Villon,3
89,Ailsa Mellon Bruce Fund,James McNeill Whistler,3
90,Ailsa Mellon Bruce Fund,Aristide Maillol,3
91,Ailsa Mellon Bruce Fund,Rembrandt van Rijn,3
92,Ailsa Mellon Bruce Fund,Agostino dei Musi,3
93,Ailsa Mellon Bruce Fund,Taddeo Zuccaro,3
94,Ailsa Mellon Bruce Fund,Claude Lorrain,3
95,Ailsa Mellon Bruce Fund,Marcantonio Raimondi,3
