,id,sum,group
0,United States Government,2798,1
1,Millard Acquisition Fund,201,1
2,Mrs. Norma B. Marin,36,1
3,Lessing Julius Rosenwald,27,1
4,Paul Mellon,18,1
5,Ms. Rebecca Smith,6,1
6,Ms. Candida Smith,5,1
7,Mr. and Mrs. Nathan L. Halpern,2,1
8,Graphicstudio,2,1
9,Kimbell Art Museum,1,1
10,Mr. and Mrs. George F. Hemphill,1,1
11,Mrs. Sally Avery,1,1
12,Mr. and Mrs. Christopher Middendorf,1,1
13,Middendorf Gallery,1,1
14,Leo Castelli,1,1
15,The Honorable Robert H. Thayer,1,1
16,Mr. and Mrs. Harry A. Brooks,1,1
17,Yolande Delasser,1,2
18,Michael Natalis,1,2
19,Michael Rekucki,1,2
20,Georgine E. Mason,1,2
21,George Seideneck,1,2
22,Michael Riccitelli,1,2
23,George Loughridge,1,2
24,George Fairbanks,1,2
25,George E. Rhone,1,2
26,Michele Sanmicheli,1,2
27,Milton Avery,1,2
28,Georg Kaspar de Prenner,1,2
29,Genevieve Jordan,1,2
30,Gabriele Valvassori,1,2
31,Gabriel Huquier,1,2
32,G.I. Delrosso,1,2
33,Miriam Y. Solomon,1,2
34,Mona Brown,1,2
35,François Cornille,1,2
36,Mortimer Borne,1,2
37,Gertrude Koch,1,2
38,Giacomo Quarenghi,1,2
39,Gilles Marie Oppenord,1,2
40,Giovanni Battista Mannelli,1,2
41,Mary Edith Brooks,1,2
42,Mary Hansen,1,2
43,Mary Porter,1,2
44,Gustave Georg Endner,1,2
45,Guido Ubaldo Abbatini,1,2
46,Graphicstudio,1,2
47,Grace Thomas,1,2
48,Maude Valle,1,2
49,Maurice Blumenfeld,1,2
50,Natalie Simon,1,2
51,Max Unger,1,2
52,Giuseppe Benedetti,1,2
53,Girolamo Teti,1,2
54,Giovanni Paolo Panini,1,2
55,Michael France,1,2
56,Giovanni Battista Spampani,1,2
57,Giovanni Battista Sintes,1,2
58,Giovanni Battista Pittoni,1,2
59,Giovanni Battista Piranesi,1,2
60,Giovanni Battista Nelli,1,2
61,Gladys M. Guillaudeu,1,2
62,Mary Berner,1,2
63,Natalie Thompson,1,2
64,Frank Eiseman,1,2
65,F.W. Powell,1,2
66,Eugene W. McGill,1,2
67,Eugene R. Szepessy,1,2
68,Peter C. Ustinoff,1,2
69,Philibert Boutrois,1,2
70,Etna Wiswall,1,2
71,Etienne Charpentier,1,2
72,Ernest Graham,1,2
73,Ernest Capaldo,1,2
74,Ernest Busenbark,1,2
75,Pierre Lepautre,1,2
76,Eric Mose,1,2
77,Emilio Zito,1,2
78,Pierre Nicolas Rannsonette,1,2
79,Elsie Wein,1,2
80,Elmo Fleming,1,2
81,Pierre Soubeyran,1,2
82,Pierre-Edme Babel,1,2
83,Pietro Antonio de Pitri,1,2
84,Ferdinand Cartier,1,2
85,Page Coffman,1,2
86,Filippo Brunelleschi,1,2
87,Filippo Gagliardi,1,2
88,Nicolas Cochin,1,2
89,Nicolas Dorigny,1,2
90,Francois-Nicolas Martinet,1,2
91,Franciszek Smuglewicz,1,2
92,Nicolas Laigniel,1,2
93,Francis Borelli,1,2
94,Francesco Maria Francia,1,2
95,Francesco Faraone Aquila,1,2
96,Francesco Bufalini,1,2
97,Nicolas Belin,1,2
98,Francesco Bartoli,1,2
99,Orison Daeda,1,2
100,Floyd R. Sharp,1,2
101,Orville Skaren,1,2
102,Florence Milto,1,2
103,Florence Elizabeth Atkins,1,2
104,Flora G. Guerra,1,2
105,Joseph Guarino,1,2
106,Filippo Vasconi,1,2
107,Owen Middleton,1,2
108,Frances Matsubara,1,2
109,Pietro Santo Bartoli,1,2
110,Hardin Walsh,1,2
111,Harold Merriam,1,2
112,Lazar Rubinstein,1,2
113,John Cooke,1,2
114,LeRoy McCarrel,1,2
115,John Bodine,1,2
116,John B. Moll,1,2
117,Johann Wilhelm,1,2
118,Johann Joseph Dietzler,1,2
119,Johann Heinrich Ramhoffsky,1,2
120,Johann Friedrich Greuter,1,2
121,Johann Andreas Pfeffel I,1,2
122,Johann Adolph Darnsteds,1,2
123,Jessie M. Youngs,1,2
124,LeRoy Robinson,1,2
125,Jean-Louis Delignon,1,2
126,Jean-François de Cuvilliés I,1,2
127,Jean-François Liegme,1,2
128,Jean-Antoine Belmont,1,2
129,Jean Michel Chevotet,1,2
130,Lee Hager,1,2
131,John Dana,1,2
132,John Davis,1,2
133,Lawrence Phillips,1,2
134,Lawrence Foster,1,2
135,Joseph de Montalegre,1,2
136,Joseph Ficcadenti,1,2
137,Joseph Cannella,1,2
138,John Winters,1,2
139,Josephine Miller,1,2
140,Juanita Donahoo,1,2
141,Jules Hardouin Mansart,1,2
142,Jules Lefevere,1,2
143,John Price,1,2
144,Jean Colin,1,2
145,John Petrucci,1,2
146,John Osbold,1,2
147,Juste Aurèle Meissonnier,1,2
148,John Lindermayer,1,2
149,John Lang,1,2
150,John Koehl,1,2
151,Katharine Merrill,1,2
152,Kurt Melzer,1,2
153,L. Vladimar Fischer,1,2
154,John Flaxman,1,2
155,John Oster,1,2
156,Harley Kempter,1,2
157,Jean Charles Allet,1,2
158,Jean Baptiste Liénard,1,2
159,Luigi Ughi,1,2
160,Luther D. Wenrich,1,2
161,Herbert S. Frere,1,2
162,Herbert Barnard,1,2
163,Henry Rasmusen,1,2
164,Magnus S. Fossum,1,2
165,Henry Moran,1,2
166,Helen Siegl,1,2
167,Helen McCollum,1,2
168,Marian Curtis Foster,1,2
169,Hebilly West,1,2
170,Marie Mitchell,1,2
171,Mario De Ferrante,1,2
172,Marius Hansen,1,2
173,Marjorie Lee,1,2
174,Harry G. Aberdeen,1,2
175,Harry Eisman,1,2
176,Martin Marvie,1,2
177,Harold Smith,1,2
178,Lucille Manson,1,2
179,Louis de Chatillon,1,2
180,Ignazio Agliaudo,1,2
181,Inez McCombs,1,2
182,Jay Katz,1,2
183,Leonhardt Christoph Sturm,1,2
184,James O'Mara,1,2
185,Lester Kausch,1,2
186,James Baare Turnbull,1,2
187,Jacques-François Blondel,1,2
188,Jacques Blondeau,1,2
189,Lina Manetto,1,2
190,Lloyd Broome,1,2
191,Jean Baptiste Réville,1,2
192,J.-L. Benoist,1,2
193,Lloyd Quackenbush,1,2
194,Ivar Julius,1,2
195,Italian 16th Century,1,2
196,Israël Silvestre,1,2
197,Wynna Wright,1,2
198,Lorenzo Nuvolone,1,2
199,Louis Annino,1,2
200,Louis Gersh,1,2
201,Louis Maldarelli,1,2
202,Lloyd Charles Lemcke,1,2
203,Pietro da Cortona,1,2
204,Otto E. Hake,1,2
205,Elizabeth Johnson,1,2
206,Carlo Gregori,1,2
207,Carlo Fontana,1,2
208,Carlo Antonini,1,2
209,Carl O'Bergh,1,2
210,Carl Frosch,1,2
211,Thomas Dooley,1,2
212,Camillio Cungi,1,2
213,C. Frussotte,1,2
214,Thomas Holloway,1,2
215,Thomas Watts,1,2
216,Bernardo Antonio Vittone,1,2
217,Bernardino Radi,1,2
218,V.L. Vance,1,2
219,Ben Lassen,1,2
220,Vincelaus Ramponi,1,2
221,Auguste Renoir,1,2
222,Arthur Stewart,1,2
223,Quentin-Pierre Chedel,1,2
224,Vincent McPharlin,1,2
225,Tabea Hosier,1,2
226,Charles Caseau,1,2
227,Russell Madole,1,2
228,Clinton Myers,1,2
229,Cleon Barton,1,2
230,Salvo Castellucci,1,2
231,Claude René Gabriel Poulleau,1,2
232,Claude Perrault,1,2
233,Claes Oldenburg,1,2
234,Ciro Ferri,1,2
235,Christopher Hobbs,1,2
236,Christian Rieger,1,2
237,Christian Ludwig Stieglitz,1,2
238,Christian Heinrich Grünler,1,2
239,Samuel Philpot,1,2
240,Charles T. Smith,1,2
241,Charles McLoin,1,2
242,Sarah F. Williams,1,2
243,Shigeru Izumi,1,2
244,Sébastien Le Clerc I,1,2
245,Arthur Mathews,1,2
246,Arthur Johnson,1,2
247,Arthur G. Merkley,1,2
248,Wilford H. Shurtliff,1,2
249,Alfred Koehn,1,2
250,Willard Hazen,1,2
251,Alfred Goldstein,1,2
252,Alfred Denghausen,1,2
253,William F. Morris,1,2
254,Alfonso Mirabal,1,2
255,Alexandre Moisy,1,2
256,Alexander Anderson,1,2
257,William Herbert,1,2
258,William Ludwig,1,2
259,Albert Gold,1,2
260,William Schmidt,1,2
261,Adolph Opstad,1,2
262,Adele Brooks,1,2
263,Adelaide Dyball,1,2
264,Winifred Luten,1,2
265,Alfred Walbeck,1,2
266,Alice Domey,1,2
267,Walther Herman Ryff,1,2
268,Walter Doran,1,2
269,Aristide Maillol,1,2
270,Arelia Arbo,1,2
271,Vincent Murphy,1,2
272,Antonio Barbey,1,2
273,Antonio Balestra,1,2
274,Antoine-Jean Duclos,1,2
275,Antoine Joseph Gaitte,1,2
276,Antoine Herisset,1,2
277,Roy S. Brown,1,2
278,Antoine Aveline,1,2
279,Virgil A. Liberto,1,2
280,Virginia Bufano,1,2
281,Anna Aloisi,1,2
282,Vito Acconci,1,2
283,Angelo Bulone,1,2
284,Andrew Topolosky,1,2
285,Andrea Sacchi,1,2
286,Andrea Camassei,1,2
287,Vincenzo Mariotti,1,2
288,Conrado Barrio,1,2
289,Theodor Verkruis,1,2
290,Roger Deats,1,2
291,Robert Clark,1,2
292,E.A. Smaller,1,2
293,Edward F. Engel,1,2
294,Edward DiGennero,1,2
295,Dorothea Bates,1,2
296,Earl Butlin,1,2
297,Raymond Manupelli,1,2
298,Edgar Degas,1,2
299,Raymond McGough,1,2
300,Rosa Burger,1,2
301,Robert Tardiff,1,2
302,Edgar L. Pearce,1,2
303,Roberta Elvis,1,2
304,Rocco Navigato,1,2
305,Conte Alessandro Pompei,1,2
306,Dayton Brown,1,2
307,Donald Donovan,1,2
308,Dolores Haupt,1,2
309,Dominique Barrière,1,2
310,Douglas Campbell,1,2
311,Ranka S. Woods,1,2
312,Edward Grant,1,2
313,Domenico Ferretti,1,2
314,D.P. Jones,1,2
315,R.E. Schearer,1,2
316,Dorothy Van Dunker,1,2
317,Dorothy Posten,1,2
318,Robert Daudet I,1,2
