,id,sum,group
164,Frank Weston Benson,1,2
165,Franklin T. Wood,1,2
166,Frans Crabbe van Espleghem,1,2
167,Frans Floris I,1,2
168,Samuel Freeman,1,2
169,Franz Marc,1,2
170,François Duchatel,1,2
171,Samuel Cousins,1,2
172,Samuel Cooper,1,2
173,François Huet,1,2
174,Francesco Segala,1,2
175,Francesco Salviati,1,2
176,Francesco Primaticcio,1,2
177,Francesco Guardi,1,2
178,Etienne Brion,1,2
179,South Netherlandish 15th Century,1,2
180,Solomon Borisovich Judovin,1,2
181,Eugene Higgins,1,2
182,Eugene Shellady,1,2
183,Eugène Delâtre,1,2
184,Eva Auld Watson,1,2
185,Sir Thomas Lawrence,1,2
186,F.C. Davenport,1,2
187,Sir Godfrey Kneller,1,2
188,Federico Castellón,1,2
189,Felix Timmermans,1,2
190,François Joullain,1,2
191,Filippino Lippi,1,2
192,Simon-Joseph Pellegrin,1,2
193,Simon Vouet,1,2
194,Simon Jacques Rochard,1,2
195,Florentine 16th Century,1,2
196,Simon Frisius,1,2
197,Florian Rokita,1,2
198,Fra Angelico,1,2
199,Fra Filippo Lippi,1,2
200,Frances Cohen,1,2
201,Simon Francois Ravenet I,1,2
202,Francesco Casanova,1,2
203,Sidney Nolan,1,2
204,Fine Art Society,1,2
205,François Le Moyne,1,2
206,François Lucas,1,2
207,François-André Vincent,1,2
208,Gerard Barnett,1,2
209,Rose Crosman,1,2
210,Gerhard Albin Albe,1,2
211,German 13th Century,1,2
212,Ronau William Woiceske,1,2
213,German 17th Century,1,2
214,Romain Girard,1,2
215,German 20th Century,1,2
216,Roger de La Fresnaye,1,2
217,Gerrit van Honthorst,1,2
218,Giacomo Franco,1,2
219,Gian Lorenzo Bernini,1,2
220,Roselle Hellenberg Osk,1,2
221,Gilles Demarteau the Elder,1,2
222,Giorgio Ghisi,1,2
223,Giovanni Antonio Pellegrini,1,2
224,Giovanni Balducci,1,2
225,Giovanni Baronzio,1,2
226,Giovanni Battista Bregno,1,2
227,Giovanni Battista Caccini,1,2
228,Rochard,1,2
229,Giovanni Battista Trotti,1,2
230,Giovanni Battista della Rovere,1,2
231,Giovanni Bellini,1,2
232,Rocco Navigato,1,2
233,Giovanni Fortuna,1,2
234,Giorgio De Chirico,1,2
235,Girolamo Genga,1,2
236,George V. Vezolles,1,2
237,George Seideneck,1,2
238,François-Philippe Charpentier,1,2
239,Fred Peterson,1,2
240,Frederic Taubes,1,2
241,Frederick Bouttats I,1,2
242,Frederick Bouttats II,1,2
243,Frederick Christian Lewis I,1,2
244,Frederick Pauling,1,2
245,Frederick T. Reynolds,1,2
246,Salvador Dalí,1,2
247,Friedrich Tischbein,1,2
248,Fritz Voigt,1,2
249,Félicien Rops,1,2
250,George Soper,1,2
251,G.A. Ayers,1,2
252,Georg Glockendon the Elder,1,2
253,Georg M. Maisch,1,2
254,Russell Madole,1,2
255,George B. Wally,1,2
256,"George Barret, Jr.",1,2
257,George Beyer,1,2
258,George Bobholz,1,2
259,George Canning Wales,1,2
260,George Cruikshank,1,2
261,George File,1,2
262,George Hand Wright,1,2
263,Rufino Tamayo,1,2
264,G.A. Spangenberg,1,2
265,Jean Lepautre,1,2
266,Jean Louis Charles Pauquet,1,2
267,Pierre-Jean Mariette,1,2
268,Lyman Young,1,2
