,id,sum,group
0,Graphicstudio,10,1
1,Mrs. Robert A. Hauslohner,5,1
2,Rosenwald Print Purchase Fund,3,1
3,Bruce Marsh,2,1
4,"John C. Marin, Jr.",2,1
5,Mr. and Mrs. Paul Borghi,2,1
6,Robert Gordy,2,1
7,Aaron Fink,1,1
8,Anonymous,1,1
9,Mortimer Brandt,1,1
10,Mr. Roger Arvid Anderson,1,1
11,Aaron Fink,1,2
12,Roy Lichtenstein,1,2
13,Robert Gordy,1,2
14,Robert Frank,1,2
15,Red Grooms,1,2
16,Philip Pearlstein,1,2
17,Peter Milton,1,2
18,Original Editions,1,2
19,Muirhead Bone,1,2
20,Sandro Chia,1,2
21,Knickerbocker Machine & Foundry,1,2
22,James Jacques Joseph Tissot,1,2
23,Institute of Contemporary Art,1,2
24,Giovanni Bernardi,1,2
25,Bryn Manley,1,2
26,Andy Warhol,1,2
27,William Crutchfield,1,2
28,Elihu Vedder,2,2
29,Bruce Marsh,2,2
30,John Marin,2,2
31,Graphicstudio,7,2
