,target,source,value
0,Agnes Gordon Fuller Tack,George Fuller,1
1,Ailsa Mellon Bruce Fund,Gottfried Bernhard Götz,1
2,Ailsa Mellon Bruce Fund,Jacques de Gheyn II,2
3,Ailsa Mellon Bruce Fund,Edouard Manet,1
4,Ailsa Mellon Bruce Fund,Honoré Daumier,1
5,Ailsa Mellon Bruce Fund,Camille Pissarro,1
6,Ailsa Mellon Bruce Fund,Jacques Villon,1
7,Ailsa Mellon Bruce Fund,Moyses van Uyttenbroeck,1
8,Ailsa Mellon Bruce Fund,Max Joseph Wagenbauer,1
9,Ailsa Mellon Bruce Fund,Jules-Ferdinand Jacquemart,1
10,Ailsa Mellon Bruce Fund,Jan van Somer,1
11,Ailsa Mellon Bruce Fund,Abraham Bloemaert,1
12,Ailsa Mellon Bruce Fund,Sebald Beham,1
13,Ailsa Mellon Bruce Fund,Giovanni Battista Piranesi,1
14,Ailsa Mellon Bruce Fund,Charles-François Daubigny,2
15,Ailsa Mellon Bruce Fund,John Everett Millais,1
16,Ailsa Mellon Bruce Fund,Claes Jansz Visscher,1
17,Ailsa Mellon Bruce Fund,Vincenzo dal Re,1
18,Ailsa Mellon Bruce Fund,James Ward,1
19,Ailsa Mellon Bruce Fund,James Hamilton Shegogue,3
20,Ailsa Mellon Bruce Fund,Boëtius Adams Bolswert,1
21,American Curator Fund (Paul Anbinder),John William Casilear,2
22,American Curator Fund (Paul Anbinder),Samuel Colman,1
23,Andrew W. Mellon Fund,Albert Pinkham Ryder,1
24,Andrew W. Mellon Fund,Gilbert Stuart,1
25,André Dunoyer de Segonzac,André Dunoyer de Segonzac,118
26,André Dunoyer de Segonzac,Virgil,2
27,Anonymous,Thomas E. Stephens,1
28,Avalon Foundation,Winslow Homer,1
29,Avalon Foundation,Bartolomé Esteban Murillo,1
30,Chester Dale,Mary Cassatt,2
31,Chester Dale,Edouard Manet,1
32,Chester Dale,Thomas Sully,1
33,Chester Dale,George Bellows,3
34,Children of The Rt. Rev. William Lawrence,Chester Harding,1
35,Cornelius Vanderbilt Whitney,Sir Anthony van Dyck,1
36,Curt Hugo Reisinger,John Singer Sargent,1
37,Curt Hugo Reisinger,James McNeill Whistler,1
38,David Edward Finley,Eduard Mandel,1
39,David Edward Finley,Raphael,1
40,David Edward and Margaret Eustis Finley Fund,Barthélemy Prieur,1
41,David Gensburg,Gemini G.E.L.,20
42,David Gensburg,Jeff Wasserman,1
43,David Gensburg,Timothy Huchthausen,1
44,David Gensburg,Fred Genis,2
45,David Gensburg,Chris Sukimoto,2
46,David Gensburg,Daniel Freeman,1
47,David Gensburg,James Reid,1
48,David Gensburg,Mark Stock,1
49,David Gensburg,Martin Klein,1
50,David Gensburg,Timothy Isham,1
51,David Gensburg,Sam Francis,2
52,David Gensburg,Octavio Pereira,1
53,David Gensburg,Barbara Thomason,3
54,David Gensburg,Anthony Zepeda,3
55,David Gensburg,David Hockney,5
56,David Gensburg,William Crutchfield,5
57,David Gensburg,Ellsworth Kelly,6
58,David Gensburg,Charles Ritt,6
59,David Gensburg,Robert Dressen,1
60,David Gensburg,Ron Adams,4
61,David Gensburg,Serge Lozingot,4
62,David Gensburg,Jasper Johns,2
63,David Gensburg,James Webb,4
64,David Gensburg,Edward Henderson,2
65,David Keppel,Léon Davent,1
66,David Keppel,Valentine Green,1
67,David Keppel,Sir Joshua Reynolds,1
68,David Keppel,Baron Auguste-Gaspard-Louis Desnoyers,1
69,David Keppel,Ugo da Carpi,1
70,David Keppel,Raphael,2
71,David Keppel,Abraham Bosse,1
72,David Keppel,Giovanni Battista Piranesi,100
73,David Keppel,Abraham Blooteling,1
74,David Keppel,Lodewyk van der Helst,1
75,Dr. Clements Collard Fry,George Cruikshank,9
76,Dr. Horace Binney,Gilbert Stuart,1
77,Dr. Richard A. Simms,Louis Adolphe Salmon,2
78,Dr. Richard A. Simms,Claudius Popelin,1
79,Dr. Richard A. Simms,Jules Michelin,1
80,Dr. Richard A. Simms,Paul Adolphe Rajon,1
81,Dr. Richard A. Simms,Henri Leys,1
82,Dr. Richard A. Simms,Jules Hereau,1
83,Dr. Richard A. Simms,Léopold Flameng,1
84,Dr. Richard A. Simms,François-Nicolas Auguste Feyen-Perrin,1
85,Dr. Richard A. Simms,Edwin Edwards,1
86,Dr. Richard A. Simms,Gustave Doré,1
87,Dr. Richard A. Simms,Jules Jacques Veyrassat,1
88,Dr. Richard A. Simms,Tancrède Abraham,1
89,Dr. Richard A. Simms,Gustave Adolphe Jundt,1
90,Dr. Richard A. Simms,Armand Queyroy,1
