,id,sum,group
0,Lessing Julius Rosenwald,6844,1
1,Samuel H. Kress Foundation,2424,1
2,Georgia O'Keeffe,454,1
3,George Matthew Adams,390,1
4,Mr. and Mrs. Edgar William Garbisch,223,1
5,Chester Dale,215,1
6,William Robertson Coe,168,1
7,Mrs. Lillian S. Timken,64,1
8,German People,61,1
9,Anonymous,57,1
10,Robert Rauschenberg,55,1
11,Mrs. Winthrop Murray Crane,47,1
12,Mrs. Andrew G. Carey,44,1
13,Howard Sturges,35,1
14,"George D. Widener, Jr.",26,1
15,Mr. and Mrs. Benjamin B. Smith,22,1
16,Ailsa Mellon Bruce Fund,21,1
17,Andrew W. Mellon Fund,20,1
18,Mr. August Mencken,19,1
19,Mr. W.G. Russell Allen,19,1
20,Lewis D. Einstein,19,1
21,Mr. Peter M. Brant,15,1
22,Rosenwald Print Purchase Fund,10,1
23,"The Honorable Herbert Claiborne Pell, Jr.",9,1
24,The A.W. Mellon Educational and Charitable Trust,8,1
25,Adolph Caspar Miller,8,1
26,Samuel L. Fuller,7,1
27,Coe Foundation,7,1
28,Avalon Fund,7,1
29,Millard Acquisition Fund,6,1
30,Agnes Ernst Meyer,5,1
31,Mrs. Charles D. Draper,5,1
32,Mrs. Charles S. Carstairs,4,1
33,Rijksmuseum,4,1
34,Mr. Walter L. Bogert,3,1
35,Mr. William M. Speiller,3,1
36,Mrs. Roger H. Plowden,3,1
37,James Hazen Hyde,3,1
38,"Adele R. Levy Fund, Inc.",3,1
39,Curt Hugo Reisinger,3,1
40,David Keppel,3,1
41,"Fuller Foundation, Inc.",3,1
42,Edith Stuyvesant Gerry,3,1
43,Dr. and Mrs. Maclyn E. Wade,3,1
44,Gemini G.E.L.,3,1
45,Ms. Elizabeth Donner Hanson,2,1
46,Committee of Italian Artists,2,1
47,Dr. Walter Timme,2,1
48,Mrs. Charles Baird,2,1
49,Mr. Robert Donner,2,1
50,Avalon Foundation,2,1
51,"Copley Amory, Jr.",2,1
52,Mrs. Robert Homans,2,1
53,Mrs. E. C. Chadbourne,2,1
54,Mrs. Margaret Seligman Lewisohn,2,1
55,Count Cecil Charles Pecci-Blunt,2,1
56,Mrs. Gerhard Heinrich Dieke,2,1
57,Frederick C. Oechsner,2,1
58,Mrs. John Jay Ide,2,1
59,Rupert L. Joseph,2,1
60,Graphicstudio,2,1
61,Georges Wildenstein,2,1
62,Thomas Whittemore,2,1
63,The Phillips Collection,2,1
64,Agnes Gordon Fuller Tack,2,1
65,Roger W. Kahn,1,1
66,Mrs. Sumner Welles,1,1
67,Mrs. Lessing J. Rosenwald,1,1
68,William Nelson Cromwell Fund,1,1
69,Unknown Patron,1,1
70,Tunisian Government,1,1
71,Mrs. Otto H. Kahn,1,1
72,"The Mark Rothko Foundation, Inc.",1,1
73,Mrs. Simon M. Horstick,1,1
74,Mrs. Watson B. Dickerman,1,1
75,Brigadier General Charles Lionel Lindemann,1,1
76,"Mrs. William Crowninshield Endicott, Jr.",1,1
77,Mrs. William D. Vogel,1,1
78,"Albert M. Friend, Jr.",1,1
79,Mrs. William H. Carnegie,1,1
80,Stanley Mortimer,1,1
81,Alexander D. Thayer,1,1
82,Arthur Sachs,1,1
83,Olga Roosevelt Graves,1,1
84,Mrs. Leland Harrison,1,1
85,Atlanta Art Association,1,1
86,Paul Rosenberg,1,1
87,Rabbi Hugo B. Schiff,1,1
88,"Horace Havemeyer, Jr.",1,1
89,Mrs. Dwight Filley Davis,1,1
90,"Mrs. John Barry Ryan, Jr.",1,1
91,Miss Loula D. Lasker,1,1
92,Mr. Cornelius Van Schaak Roosevelt,1,1
93,Mr. Clarence Y. Palitz,1,1
94,Miss Violet Organ,1,1
95,Miss Martha E. Warner,1,1
96,Miss Marian B. Maurice,1,1
97,Miss Margaret McCormick,1,1
98,Miss Harriet Winslow,1,1
99,Mrs. George Batchelder,1,1
100,Miss Ethel G. Tolman,1,1
101,Miss Edith Reynolds,1,1
102,Miss Alice Preston,1,1
103,Lady Roxana Wentworth Vereker,1,1
104,Lady Maud Marriott,1,1
105,Harry Waldron Havemeyer,1,1
106,Mr. Ferdinand Lammot Belin,1,1
107,Mr. Gilbert S. Kahn,1,1
108,Mr. Gordon Abbott,1,1
109,"Frederick Sturges, Jr.",1,1
110,Mr. Robert Peet Skinner,1,1
111,Ferdinand Lammot Belin Fund,1,1
112,Eugene S. Pleasonton,1,1
113,Mr. and Mrs. Cornelius Vanderbilt Whitney,1,1
114,Mr. and Mrs. Robert Woods Bliss,1,1
115,Mrs. Ailsa Mellon Bruce,1,1
116,Mrs. Albert J. Beveridge,1,1
117,Donald D. Shepard,1,1
118,Mrs. Benjamin E. Levy,1,1
119,Mrs. Cooper R. Drewry,1,1
120,Horace Havemeyer,1,1
121,Mrs. E. Laurence White,1,1
122,Mrs. Francis B. Lothrop,1,1
123,Mr. Henry Prather Fletcher,1,1
124,A. Haddock,1,2
125,John Savage,1,2
126,John Sartain,1,2
127,John Russell Clift,1,2
128,John Romney,1,2
129,John Riley,1,2
130,John Raphael Smith,1,2
131,John Skinner Prout,1,2
132,John Piper,1,2
133,John Livingston Ihle,1,2
134,John Landis,1,2
135,John James Masquerier,1,2
136,John Hilling,1,2
137,John Hall,1,2
138,John H. De Pol,1,2
139,John Michael Williams,1,2
140,John Sloan,1,2
141,John Toole,1,2
142,John Trumbull,1,2
143,Juan de Valdés Leal,1,2
144,Juan Bauzil,1,2
145,Joshua Johnson,1,2
146,Joseph Whiting Stock,1,2
147,Joseph Weisz,1,2
148,Joseph Steward,1,2
149,Joseph Siffred Duplessis,1,2
150,Joseph Murray Ince,1,2
151,Joseph Greuter,1,2
152,Joseph Goodhue Chandler,1,2
153,Joris Hoefnagel,1,2
154,Jonathan Budington,1,2
155,Jonas Suyderhoff,1,2
156,John Wesley Paradise,1,2
157,John Wesley Jarvis,1,2
158,John Greenwood,1,2
159,Juan van der Hamen y León,1,2
160,John Greeley,1,2
161,John Frederick Kensett,1,2
162,Jo Hallbrock,1,2
163,Jim Forsberg,1,2
164,Jerome Kaplan,1,2
165,Jeremiah Meyer,1,2
166,Jean-Étienne Liotard,1,2
167,Jean-Pierre-Antoine Tassaert,1,2
168,Joachim Patinir,1,2
169,Jean-Léon Gérôme,1,2
170,Jean-Baptiste Massé,1,2
171,Jean-Baptiste Gerardin,1,2
172,Jean-Baptiste Delafosse,1,2
173,Jean-Antoine Houdon,1,2
