,id,sum,group
0,Patrons' Permanent Fund,5116,1
1,Gemini G.E.L.,4311,1
2,Mr. and Mrs. Benjamin B. Smith,4014,1
3,Glenstone,2003,1
4,Mr. and Mrs. John Pappajohn,1987,1
5,Mr. and Mrs. Roger Sant,1987,1
6,Richard S. Zeisler,1987,1
7,Corcoran Gallery of Art,1443,1
8,Lessing Julius Rosenwald,1284,1
9,Phyllis Diebenkorn,1235,1
10,Kathan Brown,1012,1
11,Dr. and Mrs. William H. Gerdts,910,1
12,Benjamin B. Smith,852,1
13,Collectors Committee,727,1
14,Mr. and Mrs. Herbert Vogel,601,1
15,University of South Florida Foundation,513,1
16,Pepita Milmore Memorial Fund,443,1
17,Mrs. Robert A. Hauslohner,436,1
18,Dan and Mary Solomon,401,1
19,Graphicstudio,373,1
20,Woodward Foundation,355,1
21,Robert Stana and Thomas Judy,343,1
22,Ailsa Mellon Bruce Fund,282,1
23,June Wayne,260,1
24,Joshua P. Smith,241,1
25,Anonymous,234,1
26,Roy Lichtenstein,226,1
27,Mrs. Jacob Kainen,220,1
28,Gary S. Davis,210,1
29,New Century Fund,197,1
30,Dr. and Mrs. Maclyn E. Wade,196,1
31,Mrs. Louis Lozowick,194,1
32,Anthony Podesta,188,1
33,Mr. Lawrence Zicklin,184,1
34,Beth Callahan,179,1
35,Mr. and Mrs. Jacques Z. Baruch,154,1
36,Eugene L. and Marie-Louise Garbáty Fund,150,1
37,Florian Carr Fund,144,1
38,David Gensburg,142,1
39,Jay Finkel,138,1
40,Mr. Neal Turtell,136,1
41,Jim Dine,133,1
42,Robert Rauschenberg,114,1
43,Robert Frank,109,1
44,Robert and Kerstin Adams,108,1
45,Vito Acconci,102,1
46,Mr. and Mrs. Roger Sonnabend,93,1
47,Susan Lorence,91,1
48,Mr. Peter M. Brant,90,1
49,Crown Point Press,84,1
50,Mrs. Barbara Bertozzi Castelli,80,1
51,Sarah Greenough,79,1
52,Mr. Lloyd Rigler,76,1
53,Robert E. Meyerhoff,76,1
54,The William Stamps Farish Fund,76,1
55,Dr. Pat Kennedy,71,1
56,"The Mark Rothko Foundation, Inc.",69,1
57,Mrs. Betsy Karel,68,1
58,Brigitte Freed,68,1
59,Dr. Christopher Graf,67,1
60,Roy Lichtenstein Foundation,65,1
61,Pierre Cremieux,65,1
62,"James Castle Collection and Archive, LP",64,1
63,Philip Pearlstein,64,1
64,Mr. John L. Eastman,63,1
65,Mr. Lee V. Eastman,63,1
66,The Horace W. Goldsmith Foundation,58,1
67,Sam Francis,56,1
68,Mr. David Mahoney,55,1
69,Robert Jackson,53,1
70,Evelyn Stefansson Nef,51,1
71,Mr. and Mrs. Robert A. Hauslohner,50,1
72,Samuel Priest Korper,50,1
73,Michael and Jane Wilson,48,1
74,Gregory and Aline Gooding,48,1
75,Irving Penn,46,1
76,Dave H. and Reba W. Williams,46,1
77,Estate of George R. Bunker,45,1
78,Rosenwald Print Purchase Fund,44,1
79,Stephen G. Stein,44,1
80,Professional Art Group I,44,1
81,Elaine and James D. Wolfensohn,43,1
82,Dunlevy Milbank Foundation,43,1
83,Heather and Tony Podesta,39,1
84,Mr. William M. Speiller,36,1
85,Nancy Lee and Perry Bass,36,1
86,Mr. and Mrs. Peter MacGill,36,1
87,Lee and Maria Friedlander,36,1
88,Ms. Joan Palevsky,34,1
89,Alfred H. Moses and Fern M. Schad Fund,33,1
90,Herr Wolfgang Wittrock,33,1
91,Jeffrey Fraenkel and Alan Mark,33,1
92,Mr. Charles Parkhurst,33,1
93,The Edward R. Broida Trust,32,1
94,Avalon Fund,32,1
95,Mrs. Joyce F. Menschel,31,1
96,Mr. and Mrs. Marvin Schwartz,31,1
97,Richard and Alice Thall,31,1
98,Joanne Leonard,31,1
99,Stephen Dull,30,1
100,Robert Gordy,28,1
101,Philip Brookman,28,1
102,"Mr. and Mrs. Burton G. Tremaine, Sr.",28,1
103,The Saul Steinberg Foundation,27,1
