,target,source,value
2518,Ailsa Mellon Bruce Fund,Joseph Wright,1
3888,Ailsa Mellon Bruce Fund,Jules van Paemel,1
2487,Ailsa Mellon Bruce Fund,Francesco Salviati,1
2553,Ailsa Mellon Bruce Fund,Jacopo Nizzola da Trezzo,2
2488,Ailsa Mellon Bruce Fund,John Singer Sargent,1
2489,Ailsa Mellon Bruce Fund,Andrea del Sarto,1
3898,Ailsa Mellon Bruce Fund,Wilhelm von Kügelgen,1
2528,Ailsa Mellon Bruce Fund,Constantin Brâncuși,1
2526,Ailsa Mellon Bruce Fund,Gian Lorenzo Bernini,1
2961,Ailsa Mellon Bruce Fund,Willem Jacobsz Delff,6
3887,Ailsa Mellon Bruce Fund,Johann Jakob Ulrich,1
2904,Ailsa Mellon Bruce Fund,Donato Bramante,1
3897,Ailsa Mellon Bruce Fund,Jakob Wilhelm Huber,1
3568,Ailsa Mellon Bruce Fund,Heinrich Carl Reinhold,6
2522,Ailsa Mellon Bruce Fund,Alexander Archipenko,1
2520,Ailsa Mellon Bruce Fund,Francisco de Zurbarán,1
2640,Ailsa Mellon Bruce Fund,Alphonse Marie Mucha,1
2519,Ailsa Mellon Bruce Fund,Andrew Wyeth,1
3146,Ailsa Mellon Bruce Fund,Hans Meid,1
3151,Ailsa Mellon Bruce Fund,Simon Charles Miger,1
3367,Ailsa Mellon Bruce Fund,Boëtius Adams Bolswert,25
3896,Ailsa Mellon Bruce Fund,Hermann Hirzel,1
2516,Ailsa Mellon Bruce Fund,Rogier van der Weyden,1
3485,Ailsa Mellon Bruce Fund,Netherlandish 16th Century,6
2853,Ailsa Mellon Bruce Fund,Hans Vredeman de Vries,23
3155,Ailsa Mellon Bruce Fund,Paula Modersohn-Becker,1
2788,Ailsa Mellon Bruce Fund,Francesco Bassano II,1
2785,Ailsa Mellon Bruce Fund,James Barry,1
2784,Ailsa Mellon Bruce Fund,Bernard Baron,1
2780,Ailsa Mellon Bruce Fund,Pieter Balten,1
3471,Ailsa Mellon Bruce Fund,Molière,6
3958,Ailsa Mellon Bruce Fund,Karl Julius von Leypold,6
3868,Ailsa Mellon Bruce Fund,Frans Birckman,1
3869,Ailsa Mellon Bruce Fund,Jan van der Heyden the Younger,1
3912,Ailsa Mellon Bruce Fund,Michel-Marie Carquillat,1
3872,Ailsa Mellon Bruce Fund,Louis Emile Adan,1
3039,Ailsa Mellon Bruce Fund,Henri-Charles Guérard,6
2833,Ailsa Mellon Bruce Fund,Cornelis Vermeulen,1
2835,Ailsa Mellon Bruce Fund,Horace Vernet,1
3120,Ailsa Mellon Bruce Fund,Maximilien Luce,2
3117,Ailsa Mellon Bruce Fund,Pierre Lombard,2
2648,Ailsa Mellon Bruce Fund,Dirk Helmbreker,1
