,id,sum,group
0,Lessing Julius Rosenwald,5217,1
1,Ailsa Mellon Bruce Fund,1257,1
2,Rudolf L. Baumfeld,1044,1
3,Gemini G.E.L.,396,1
4,Paul Mellon,371,1
5,Rosenwald Print Purchase Fund,254,1
6,Dr. Toni G. Marcy,176,1
7,Mrs. Ailsa Mellon Bruce,170,1
8,"John C. Marin, Jr.",161,1
9,Samuel H. Kress Foundation,142,1
10,Georgia O'Keeffe,140,1
11,Dr. and Mrs. George Benjamin Green,137,1
12,Mr. and Mrs. Edgar William Garbisch,134,1
13,"The Mark Rothko Foundation, Inc.",121,1
14,Chester Dale,75,1
15,Andrew W. Mellon Fund,73,1
16,Mrs. Harry G. Steele,66,1
17,Print Council of America,59,1
18,Mr. and Mrs. Will Barnet,57,1
19,Dr. and Mrs. Maclyn E. Wade,54,1
20,Trustees of the Ailsa Mellon Bruce Estate,53,1
21,Avalon Fund,51,1
22,Mr. and Mrs. N. Richard Miller,36,1
23,"International Art Foundation, Inc.",35,1
24,Mr. and Mrs. Ralph F. Colin,27,1
25,University of South Florida Foundation,26,1
26,Mrs. Robert A. Hauslohner,25,1
27,Mrs. Fred Rieth,24,1
28,"Mr. and Mrs. Burton G. Tremaine, Sr.",23,1
29,"John Wesley Beatty, Jr.",22,1
30,Robert Rauschenberg,21,1
31,Millard Acquisition Fund,19,1
32,Mr. and Mrs. Louis Joughin,16,1
33,Mrs. John Ellerton Lodge,15,1
34,Mr. and Mrs. Seymour Schwartz,13,1
35,George Matthew Adams,12,1
36,Agnes Ernst Meyer,12,1
37,Mrs. James McBey,11,1
38,Mr. Cornelius Van Schaak Roosevelt,11,1
39,Ella Fillmore Lillie,10,1
40,Mr. W.G. Russell Allen,10,1
41,Professor Sydney J. Freedberg,9,1
42,Mrs. Arthur William Heintzelman,9,1
43,Trustees of John Hay Whitney Charitable Trust,7,1
44,"Mr. and Mrs. Harry H. Lunn, Jr.",7,1
45,Ukrainian Art Academy,7,1
46,Mr. and Mrs. Harry Le Bovit,6,1
47,Miss Louise Alida Livingston,6,1
48,Joshua P. Smith,6,1
49,Mrs. Michael H. Egnal,6,1
50,Mr. Lee V. Eastman,6,1
51,Mrs. Sally Avery,6,1
52,W. Averell Harriman Foundation,6,1
53,Helen Farr Sloan,6,1
54,Colonel Charles E. Hammond,6,1
55,French Navy,6,1
56,Heller Foundation,5,1
