,id,sum,group
0,Lessing Julius Rosenwald,4997,1
1,United States Government,1241,1
2,Mrs. Walter B. James,870,1
3,Georgia O'Keeffe,725,1
4,Estate of Frank Crowninshield,431,1
5,Mr. and Mrs. Benjamin B. Smith,336,1
6,Mrs. Addie Burr Clark,319,1
7,The A.W. Mellon Educational and Charitable Trust,122,1
8,André Dunoyer de Segonzac,120,1
9,David Keppel,110,1
10,George Matthew Adams,105,1
11,David Gensburg,79,1
12,Joseph E. Widener,76,1
13,R. Horace Gallatin,61,1
14,E.J.L. Hallstrom,46,1
15,Dr. and Mrs. George Benjamin Green,40,1
16,Dr. Richard A. Simms,37,1
17,Samuel H. Kress Foundation,26,1
18,Hermann Wunderlich,24,1
19,Ailsa Mellon Bruce Fund,24,1
20,Mr. John O'Brien,22,1
21,"United States Army Forces, Middle Pacific",17,1
22,Gemini G.E.L.,16,1
23,Myron A. Hofer,14,1
24,Mrs. Ralph Harman Booth,12,1
25,Dr. Clements Collard Fry,9,1
26,Rudolf L. Baumfeld,9,1
27,Mr. Arthur E. Vershbow,8,1
28,Mr. Lincoln Kirstein,7,1
29,Mr. John Dimick,7,1
30,Professor and Mrs. Daniel Bell,7,1
31,Chester Dale,7,1
32,Lewis D. Einstein,6,1
33,Mrs. George Vetlesen,5,1
34,Mrs. Barbara Hutton,4,1
35,Dr. Ruth B. Benedict,4,1
36,William C. Freeman,4,1
37,Mrs. Robert W. Schuette,3,1
38,"Mr. and Mrs. Burton G. Tremaine, Sr.",3,1
39,Sam A. Lewisohn,3,1
40,Stanley Mortimer,3,1
41,Mr. W.G. Russell Allen,3,1
42,American Curator Fund (Paul Anbinder),3,1
43,Mrs. Peter H.B. Frelinghuysen,2,1
44,Stephen Carlton Clark,2,1
45,Ms. Martha Hogan,2,1
46,Mrs. John Lockwood Pratt,2,1
47,Mrs. Henry R. Rea,2,1
48,David Edward Finley,2,1
49,Curt Hugo Reisinger,2,1
50,"Herbert L. Pratt, Jr.",2,1
51,Mr. and Mrs. Edgar William Garbisch,2,1
52,Avalon Foundation,2,1
53,Mrs. Robert Giles,2,1
54,Mr. Edwin Wolf II,2,1
55,Miss Jean W. Simpson,2,1
56,Mr. Otis T. Bradley,2,1
57,Millard Acquisition Fund,2,1
58,Andrew W. Mellon Fund,2,1
59,Mr. Willis Everett Ruffner,2,1
60,W.L. and May T. Mellon Foundation,1,1
61,Mrs. Sally Avery,1,1
62,Dr. and Mrs. George H. Alexander Clowes,1,1
63,Mrs. Winthrop Murray Crane,1,1
64,Dr. Horace Binney,1,1
65,Oscar Doyle Johnson,1,1
66,Oskar Kokoschka,1,1
67,Anonymous,1,1
68,Paul Mellon,1,1
69,Paul P. Rosenberg & Co.,1,1
70,David Edward and Margaret Eustis Finley Fund,1,1
71,"S. Thomas Alexander, III",1,1
72,Duncan Phillips,1,1
73,Children of The Rt. Rev. William Lawrence,1,1
74,Samuel L. Fuller,1,1
75,The Hon. Theodore Francis Green,1,1
76,Cornelius Vanderbilt Whitney,1,1
