,id,sum,group
0,The A.W. Mellon Educational and Charitable Trust,166,1
1,Samuel H. Kress,4,1
2,"John C. Marin, Jr.",2,1
3,Samuel H. Kress Foundation,1,1
4,"The Mark Rothko Foundation, Inc.",1,1
5,Adriaen Hanneman,1,2
6,Gabriel Metsu,1,2
7,Gainsborough Dupont,1,2
8,Gerard David,1,2
9,Gerard ter Borch the Younger,1,2
10,Giovanni Bastianini,1,2
11,Giovanni Bellini,1,2
12,Giovanni Bologna,1,2
13,Veronese,1,2
14,Giovanni d'Alemagna,1,2
15,Giovanni di Paolo,1,2
16,Greek 16th Century,1,2
17,Hans Leonard Schäufelein,1,2
18,Jan van Eyck,1,2
19,Franco-Flemish 15th Century,1,2
20,John Constable,1,2
21,Lippo Memmi,1,2
22,Mark Rothko,1,2
23,Masaccio,1,2
24,Masolino da Panicale,1,2
25,Matteo di Giovanni,1,2
26,Michel Sittow,1,2
27,Neroccio de' Landi,1,2
28,Nicolaes Maes,1,2
29,Nicolas Lancret,1,2
30,Petrus Christus,1,2
31,Pieter de Hooch,1,2
32,Polidoro Lanzani,1,2
33,Sir Thomas Lawrence,1,2
34,John Hoppner,1,2
35,Francesco Laurana,1,2
36,Giovanni Paolo Panini,1,2
37,Fra Angelico,1,2
38,Aelbert Cuyp,1,2
39,Agostino di Duccio,1,2
40,Andrea Mantegna,1,2
41,Andrea del Castagno,1,2
42,Antonio Rossellino,1,2
43,"Francesco Brambilla, the Younger",1,2
44,Bartolomeo Montagna,1,2
45,Benvenuto di Giovanni,1,2
46,Bernardino Luini,1,2
47,Bernardo Daddi,1,2
48,Byzantine 13th Century,1,2
49,Carel Fabritius,1,2
50,Antonis Mor,1,2
51,Vittore Carpaccio,1,2
52,Duccio di Buoninsegna,1,2
53,Florentine 19th Century,1,2
54,Cima da Conegliano,1,2
55,Titian,2,2
56,Spanish 18th Century,2,2
57,Rogier van der Weyden,2,2
58,Andrea del Verrocchio,2,2
59,Mino da Fiesole,2,2
60,Andrea della Robbia,2,2
61,Andrea di Bartolo,2,2
62,Antonello da Messina,2,2
63,Filippino Lippi,2,2
64,Milanese 16th Century,2,2
65,John Marin,2,2
66,El Greco,2,2
67,Benedetto Briosco,2,2
68,Jean Siméon Chardin,2,2
69,Italian 19th Century,2,2
70,Hans Holbein the Younger,2,2
71,Hans Memling,2,2
72,Joseph Mallord William Turner,2,2
73,George Romney,3,2
74,Diego Velázquez,3,2
75,Grifo di Tancredi,3,2
76,Sir Joshua Reynolds,3,2
77,Sir Henry Raeburn,3,2
78,Sandro Botticelli,3,2
79,Raphael,3,2
80,Puccio di Simone,3,2
81,Pietro Perugino,3,2
82,Allegretto Nuzi,3,2
83,Dutch 17th Century,3,2
84,Johannes Vermeer,3,2
85,Meindert Hobbema,3,2
86,Agnolo Gaddi,3,2
87,Desiderio da Settignano,3,2
88,Florentine 15th Century,4,2
89,Sir Anthony van Dyck,4,2
90,Francisco Goya,4,2
91,Frans Hals,5,2
92,Thomas Gainsborough,5,2
93,Rembrandt van Rijn,9,2
94,Anonymous Artist,12,2
