,id,sum,group
0,United States Government,3080,1
1,Mr. Peter M. Brant,24,1
2,Lessing Julius Rosenwald,19,1
3,Southwestern Bell Corporation,18,1
4,Mrs. Robert A. Hauslohner,1,1
5,Maud M. Holme,1,2
6,Emile Cero,1,2
7,Emilio Zito,1,2
8,Paul Kelly,1,2
9,Erwin Stenzel,1,2
10,Esther Peck,1,2
11,Ethel Dougan,1,2
12,Etna Wiswall,1,2
13,Suzanne Chapman,1,2
14,F.W. Powell,1,2
15,Ferdinand Badin,1,2
16,Mary C. Davidson,1,2
17,John N. Vogel,1,2
18,Flora Merchant,1,2
19,Florence Choate,1,2
20,John Lang,1,2
21,Florence Truelson,1,2
22,Frances Cohen,1,2
23,Stewart Wheeler,1,2
24,Francisco Alvarez,1,2
25,Lyman Young,1,2
26,Frank C. Barks,1,2
27,Frank Eiseman,1,2
28,Stanley Chin,1,2
29,Emil Hagen,1,2
30,Martin Lamont,1,2
31,Elmer Weise,1,2
32,Syrena Swanson,1,2
33,Jules Lefevere,1,2
34,Clinton Adams,1,2
35,Meyer Goldbaum,1,2
36,Josephine C. Romano,1,2
37,Cornelius Frazier,1,2
38,Cushman Parker,1,2
39,Joseph Rothenberg,1,2
40,Daniel Fletcher,1,2
41,Dolores Haupt,1,2
42,Don Pingatore,1,2
43,Donald Williams,1,2
44,Dorothea A. Farrington,1,2
45,Dorothy Handy,1,2
46,Douglas Cox,1,2
47,Joseph Glover,1,2
48,Richard Donovan,1,2
49,Edmond Lorts,1,2
50,Max Schwartz,1,2
51,Edward A. Darby,1,2
52,Edward DiGennero,1,2
53,Mauvell,1,2
54,Eleanor Kroll,1,2
55,Peter Connin,1,2
56,Elmer R. Kottcamp,1,2
57,Frank Gutting,1,2
58,Frank J. Mace,1,2
59,Martha Sancher,1,2
60,Marian Page,1,2
61,Hazel Hyde,1,2
62,Hebilly West,1,2
63,Helen Dana,1,2
64,Pearl Davis,1,2
65,Robert Cole,1,2
66,James Drake,1,2
67,Robert Penson,1,2
68,Pearl Torell,1,2
69,Henry Murphy,1,2
70,Henry Zwysen,1,2
71,Rolland Ayres,1,2
72,Herndon Hightower,1,2
73,Rocco Navigato,1,2
74,J. Peltzman,1,2
75,Robert Rigsby,1,2
76,Ivar Julius,1,2
77,Isidore Sovensky,1,2
78,Isidore Danziger,1,2
79,Margaret K. Moore,1,2
80,Robert Tardiff,1,2
81,Irene Malawicz,1,2
82,Robert Schuerer,1,2
83,Jay Katz,1,2
84,Harold Weisenborn,1,2
85,Harold Oldfield,1,2
