,id,sum,group
0,United States Government,4496,1
1,Mr. Albert Lewin,31,1
2,Mr. and Mrs. N. Richard Miller,9,1
3,W. Averell Harriman Foundation,9,1
4,Ailsa Mellon Bruce Fund,8,1
5,"International Art Foundation, Inc.",2,1
6,"John C. Marin, Jr.",2,1
7,Sandro Chia,2,1
8,Lessing Julius Rosenwald,1,1
9,Mr. Lionel C. Epstein,1,1
10,Mr. Robert H. Smith,1,1
11,Rudolf L. Baumfeld,1,1
12,Southwestern Bell Corporation,1,1
13,Hugh Ryan,1,2
14,Mario De Ferrante,1,2
15,Marie Mitchell,1,2
16,Marie Alain,1,2
17,Marian Curtis Foster,1,2
18,Emil Hagen,1,2
19,Margaret Linsley,1,2
20,Margaret Knapp,1,2
21,Margaret Gordon,1,2
22,Margaret Golden,1,2
23,Mamie M. Jones,1,2
24,Eugene La Foret,1,2
25,Eugene R. Szepessy,1,2
26,Luella Schroeder,1,2
27,Marion E. Herrick,1,2
28,Eugene Upton,1,2
29,Lucille Pettijohn,1,2
30,Louis Maldarelli,1,2
31,Louella Long,1,2
32,Lon Cronk,1,2
33,Florence Hastings,1,2
34,Florence Milto,1,2
35,Florence Truelson,1,2
36,Floyd R. Sharp,1,2
37,Linnet Alward,1,2
38,Frances Godfrey,1,2
39,Lina Manetto,1,2
40,Frances Matsubara,1,2
41,Francis Bruner,1,2
42,Eva Noe,1,2
43,Francisco Alvarez,1,2
44,Marjorie Lee,1,2
45,Mary Edith Brooks,1,2
46,D.J. Grant,1,2
47,Daniel Fletcher,1,2
48,Pauline Fish,1,2
49,Paul Strand,1,2
50,David Teniers the Younger,1,2
51,Paul Cézanne,1,2
52,Donald Williams,1,2
53,Dorothea A. Farrington,1,2
54,Page Coffman,1,2
55,Otto E. Hake,1,2
56,Orville Cline,1,2
57,E. Allen Fritz,1,2
58,E.J. Gilsleider,1,2
59,Mary Ann Burton,1,2
60,Myra Newswanger,1,2
61,Miriam Goldberg,1,2
62,Minnetta Good,1,2
63,Edmond Lorts,1,2
64,Michael Fallon,1,2
65,Edvard Munch,1,2
66,Edward Bashaw,1,2
67,Edward D. Williams,1,2
68,May Hays,1,2
69,Max Unger,1,2
70,Max Schwartz,1,2
71,Eileen Knox,1,2
72,Eldon Allen,1,2
73,Eleanor Ruelos,1,2
74,Edgar Degas,1,2
75,Peter Antonelli,1,2
76,Lelah Nelson,1,2
77,Frank Gutting,1,2
78,Jeanne Taylor,1,2
79,Hans Baldung Grien,1,2
80,Jean Gordon,1,2
81,Jay Katz,1,2
82,James McKenzie,1,2
83,Harley Kempter,1,2
84,Harold A. Doughty,1,2
85,Harold Bliss,1,2
86,James McCreery,1,2
87,Jacques Callot,1,2
88,Jack Bochner,1,2
89,J.N. Colgan,1,2
90,J.J. O'Neill,1,2
91,Guido Reni,1,2
92,Hebilly West,1,2
93,Ivan Albright,1,2
94,Isidore Danziger,1,2
95,Isabelle De Strange,1,2
96,Irving I. Smith,1,2
97,Irene Malawicz,1,2
98,Irene Lawson,1,2
99,I. Domskoy Kallman,1,2
100,Henry Rasmusen,1,2
101,Hyman Pearlman,1,2
102,Henry Waldeck,1,2
103,Herbert Barnard,1,2
104,Herbert Gallager,1,2
105,Howell Rosenbaum,1,2
106,Helen Alpiner Blumenstiel,1,2
107,Lee Hager,1,2
108,Graphicstudio,1,2
109,John B. Moll,1,2
110,Lawrence Foster,1,2
111,L. Vladimar Fischer,1,2
112,Frank Maurer,1,2
113,L. B. Hartmann,1,2
114,Kay Whiteley,1,2
115,Kathryn Uhl,1,2
116,Katharine Morris,1,2
117,Karl Joubert,1,2
118,Julie C. Brush,1,2
119,Fritz Broeske,1,2
120,Juanita Lantz,1,2
121,Genevieve Jordan,1,2
122,Joseph Wolins,1,2
123,Jesus Pena,1,2
124,Joseph Shapiro,1,2
125,Joseph Gross,1,2
126,Joseph Cannella,1,2
127,George Robin,1,2
128,George Roehl,1,2
129,John Winters,1,2
130,Georges Braque,1,2
131,Georgina King,1,2
132,John Price,1,2
133,John Petrucci,1,2
134,John Lang,1,2
135,Gilbert Boese,1,2
136,Glenn Wilson,1,2
137,John Bodine,1,2
138,Joseph Leboit,1,2
139,Conrado Barrio,1,2
140,Michael Dadante,1,2
141,Ralph M. Lewis,1,2
142,Thomas Watts,1,2
143,Arthur P. Reynolds,1,2
144,Arthur Wolfson,1,2
145,Augustine Haugland,1,2
146,B. Berndt,1,2
147,Racine Vernier,1,2
148,Simon Weiss,1,2
149,Sidney Liswood,1,2
150,Bena Mayer,1,2
151,Antonio Lombardo,1,2
152,Sandro Chia,1,2
153,Betty Jean Davis,1,2
154,Ruth Bialostosky,1,2
155,Bill Bowen,1,2
156,Rosa G. Busey,1,2
157,Rosa Burger,1,2
158,Cecily Edwards,1,2
159,Rocco Navigato,1,2
160,Robert T. Gills,1,2
161,Charles Criswell,1,2
162,Betty Jacob,1,2
163,Ursula Lauderdale,1,2
164,Anonymous Artist,1,2
165,Vina Dishon,1,2
166,Yōzō Hamaguchi,1,2
167,Adelaide Dyball,1,2
168,Adolph Beilin,1,2
169,Winifred Gibbes,1,2
170,William Schmidt,1,2
171,William Pollman,1,2
172,William Paul Childers,1,2
173,William P. Shearwood,1,2
174,Albrecht Dürer,1,2
175,William Mills,1,2
176,Alexander Berth,1,2
177,Alexander Chudom,1,2
178,Alfonso Mirabal,1,2
179,Alfred Denghausen,1,2
180,William D. Somers,1,2
181,Warren W. Lemmon,1,2
182,Amos C. Brinton,1,2
183,Andrew Herman,1,2
184,Andrew Topolosky,1,2
185,André Derain,1,2
186,Virgil A. Liberto,1,2
187,Charles Cullen,1,2
188,Robert Longacre,1,2
189,Stella Mosher,1,2
190,Charles Von Urban,1,2
191,Raoul Du Bois,1,2
192,Clinton Myers,1,2
193,Charles Squires,1,2
194,Chester Kluf,1,2
195,Christopher Hobbs,1,2
196,Claude Marshall,1,2
197,Clayton Braun,1,2
198,Richard Schoene,1,2
199,Charles Roadman,1,2
200,Robert Barton,1,2
201,Raymond Neumann,1,2
202,Charles Goodwin,1,2
203,Richard Reimer,1,2
204,Ralph Russell,1,2
205,W.J. Goodacre,2,2
206,George Yanosko,2,2
207,Virginia Berge,2,2
208,Herndon Hightower,2,2
209,Gerald Scalise,2,2
210,John Marin,2,2
211,Alton K. Skillin,2,2
212,Della Button,2,2
213,John Garay,2,2
214,John Cooke,2,2
215,Gerald Bernhardt,2,2
216,Gertrude Koch,2,2
217,John Wilkes,2,2
218,Alice Domey,2,2
219,Tulita Westfall,2,2
220,Dorothy Dwin,2,2
221,Julius Bellamy,2,2
222,Dorothea Bates,2,2
223,Victor F. Muollo,2,2
224,Josephine Lindley,2,2
225,John Thorsen,2,2
226,George B. Meyer,2,2
227,Joseph Mitry,2,2
228,Vincent Murphy,2,2
229,Doris Hollingsworth,2,2
230,Doris Beer,2,2
231,Raymond Chard,2,2
232,Donald Donovan,2,2
233,Joseph Stonefield,2,2
234,Alice Cosgrove,2,2
