,target,source,value
0,Aaron Fink,Aaron Fink,1
1,Anonymous,Robert Frank,1
2,Bruce Marsh,Bruce Marsh,1
3,Bruce Marsh,Graphicstudio,1
4,Graphicstudio,Graphicstudio,5
5,Graphicstudio,Roy Lichtenstein,1
6,Graphicstudio,Philip Pearlstein,1
7,Graphicstudio,Sandro Chia,1
8,Graphicstudio,Bryn Manley,1
9,Graphicstudio,Bruce Marsh,1
10,"John C. Marin, Jr.",John Marin,2
11,Mortimer Brandt,Muirhead Bone,1
12,Mr. Roger Arvid Anderson,Giovanni Bernardi,1
13,Mr. and Mrs. Paul Borghi,Elihu Vedder,2
14,Mrs. Robert A. Hauslohner,James Jacques Joseph Tissot,1
15,Mrs. Robert A. Hauslohner,Peter Milton,1
16,Mrs. Robert A. Hauslohner,Red Grooms,1
17,Mrs. Robert A. Hauslohner,William Crutchfield,1
18,Mrs. Robert A. Hauslohner,Institute of Contemporary Art,1
19,Robert Gordy,Graphicstudio,1
20,Robert Gordy,Robert Gordy,1
21,Rosenwald Print Purchase Fund,Andy Warhol,1
22,Rosenwald Print Purchase Fund,Original Editions,1
23,Rosenwald Print Purchase Fund,Knickerbocker Machine & Foundry,1
