,target,source,value
0,50th Anniversary Gift Committee,Jusepe de Ribera,1
1,50th Anniversary Gift Committee,Frédéric-Auguste Bartholdi,1
2,50th Anniversary Gift Committee,Hugh Douglas Hamilton,1
3,50th Anniversary Gift Committee,Wayne Thiebaud,1
4,50th Anniversary Gift Committee,Israhel van Meckenem,1
5,"A. Thompson Ellwanger, III",Gilles Demarteau the Elder,2
6,"A. Thompson Ellwanger, III",Francesco Londonio,7
7,"A. Thompson Ellwanger, III",Georg Friedrich Schmidt,1
8,"A. Thompson Ellwanger, III",Sir Edward Coley Burne-Jones,1
9,"A. Thompson Ellwanger, III",William Forrest,1
10,"A. Thompson Ellwanger, III",Thomas Hart Benton,1
11,"A. Thompson Ellwanger, III",Johann Teyler,1
12,"A. Thompson Ellwanger, III",William Edgar Marshall,2
13,"A. Thompson Ellwanger, III",Dr. Robert John Thornton,1
14,"A. Thompson Ellwanger, III",Isaac Cruikshank,2
15,"A. Thompson Ellwanger, III",Louis Bocquet,1
16,"A. Thompson Ellwanger, III",James E. Allen,2
17,"A. Thompson Ellwanger, III",Louis-Marin Bonnet,2
18,"A. Thompson Ellwanger, III",Philip Reinagle,1
19,"A. Thompson Ellwanger, III",Louis Jean François Lagrenée,1
20,"A. Thompson Ellwanger, III",George C. Miller,1
21,"A. Thompson Ellwanger, III",François Boucher,2
22,"A. Thompson Ellwanger, III",Richard Earlom,1
23,"A. Thompson Ellwanger, III",Jean-Charles François,1
24,"A. Thompson Ellwanger, III",Day and Son Lithographers,1
25,"A. Thompson Ellwanger, III",Hans Amann,58
26,"A. Thompson Ellwanger, III",Jean-Jacques Henner,1
27,"A. Thompson Ellwanger, III",Maurice-Quentin de La Tour,1
28,"A. Thompson Ellwanger, III",William Ward,1
29,"A. Thompson Ellwanger, III",Associated American Artists,1
30,"A. Thompson Ellwanger, III",M.G. Fuchs,2
31,"A. Thompson Ellwanger, III",Jean-Baptiste Hüet,1
32,"A. Thompson Ellwanger, III",Frederic Edwin Church,1
33,AFL-CIO,Robert Rauschenberg,1
34,Aaron Fink,Aaron Fink,7
35,Aaron Fink,Paul Genega,1
36,Aaron I. Fleischman,John Ferren,1
37,Aaron I. Fleischman,Adolph Gottlieb,1
38,Aaron I. Fleischman,Robert Delaunay,1
39,Aaron I. Fleischman,Julião Sarmento,1
40,Aaron I. Fleischman,Ilya Bolotowsky,1
41,Aaron I. Fleischman,Sharon Lockhart,3
42,Aaron I. Fleischman,Joseph Stella,1
43,Aaron I. Fleischman,Charles Sheeler,1
44,Aaron I. Fleischman,Elizabeth Murray,1
45,Aaron I. Fleischman,Jack Tworkov,1
46,Aaron I. Fleischman,Robert Motherwell,1
47,Aaron I. Fleischman,Jacques Villon,1
48,Aaron I. Fleischman,Robert Morris,1
49,Aaron and Barbara Levine,Man Ray,1
50,Abigail Norman,Alfred Stieglitz,2
51,Adja Yunkers,Adja Yunkers,1
52,Admiral Neill Phillips,John Steuart Curry,1
53,Admiral Neill Phillips,Willard Leroy Metcalf,1
54,Admiral and Mrs. Edwin Gaines Fullinwider,Gustav Klimt,1
55,Adolf Dehn,Atelier Desjobert,1
56,Adolf Dehn,Lawrence Barrett,1
57,Adolf Dehn,Adolf Dehn,17
58,Adolph Caspar Miller Fund,Lodovico Carracci,1
59,Adolph Caspar Miller Fund,Jan van Huysum,1
60,Adolph Caspar Miller Fund,Jacques Lipchitz,1
61,Adolph Caspar Miller Fund,William Trost Richards,1
62,Adolph Caspar Miller Fund,Henry Moore,1
63,Adolph Caspar Miller Fund,Thomas Sully,1
64,Adolph and Esther Gottlieb Foundation,Adolph Gottlieb,1
65,Adult Program and Foreign Language Docents,Mateo Cerezo the younger,1
66,Adult Program and Foreign Language Docents,José del Castillo,1
67,Adult Program and Foreign Language Docents,Mariano Fortuny Marsal,1
68,Agnes Denes,Agnes Denes,1
69,Agnes S. Wolf,Edward Weston,1
70,Ailsa Mellon Bruce Fund,John Sloan,1
71,Ailsa Mellon Bruce Fund,Odilon Redon,1
72,Ailsa Mellon Bruce Fund,Raphael,14
73,Ailsa Mellon Bruce Fund,Alessandro Casolani,1
74,Ailsa Mellon Bruce Fund,Ad Reinhardt,1
75,Ailsa Mellon Bruce Fund,George Romney,1
76,Ailsa Mellon Bruce Fund,Aristide Maillol,1
77,Ailsa Mellon Bruce Fund,Georges Rouget,1
78,Ailsa Mellon Bruce Fund,Charles Eisen,1
79,Ailsa Mellon Bruce Fund,Henri de Toulouse-Lautrec,1
80,Ailsa Mellon Bruce Fund,Théodore Gericault,5
81,Ailsa Mellon Bruce Fund,Justus Sustermans,1
82,Ailsa Mellon Bruce Fund,Jean-Baptiste-Camille Corot,5
83,Ailsa Mellon Bruce Fund,Bernardo Strozzi,1
84,Ailsa Mellon Bruce Fund,Théodore Rousseau,1
85,Ailsa Mellon Bruce Fund,Pierre Soulages,1
86,Ailsa Mellon Bruce Fund,Jacob van Ruisdael,1
87,Ailsa Mellon Bruce Fund,Jean-Jacques de Boissieu,15
88,Ailsa Mellon Bruce Fund,Francisco Goya,5
89,Ailsa Mellon Bruce Fund,Francesco Salviati,1
90,Ailsa Mellon Bruce Fund,Michiel van Miereveld,5
91,Ailsa Mellon Bruce Fund,Andrea del Sarto,1
92,Ailsa Mellon Bruce Fund,Edouard Manet,5
93,Ailsa Mellon Bruce Fund,Maurice-Quentin de La Tour,5
94,Ailsa Mellon Bruce Fund,Jan van Scorel,1
95,Ailsa Mellon Bruce Fund,Annibale Carracci,5
96,Ailsa Mellon Bruce Fund,Antonio Baratta,14
97,Ailsa Mellon Bruce Fund,Pierre Puvis de Chavannes,1
98,Ailsa Mellon Bruce Fund,"Pier Francesco Mazzucchelli, called Morazzone",1
99,Ailsa Mellon Bruce Fund,Giuseppe Cesari,1
100,Ailsa Mellon Bruce Fund,Friedrich Philipp Reinhold,5
101,Ailsa Mellon Bruce Fund,Jan Baptist de Wael,15
102,Ailsa Mellon Bruce Fund,Giovanni Antonio da Brescia,1
103,Ailsa Mellon Bruce Fund,Anne-Louis Girodet de Roussy-Trioson,1
104,Ailsa Mellon Bruce Fund,Andrea Scacciati,5
105,Ailsa Mellon Bruce Fund,Pierre Gobert,1
106,Ailsa Mellon Bruce Fund,Denis Diderot,15
107,Ailsa Mellon Bruce Fund,Edouard Goerg,1
108,Ailsa Mellon Bruce Fund,Urs Graf I,1
109,Ailsa Mellon Bruce Fund,Leendert van der Cooghen,1
110,Ailsa Mellon Bruce Fund,Giovanni Francesco Grimaldi,1
111,Ailsa Mellon Bruce Fund,Amedee Guerard,1
112,Ailsa Mellon Bruce Fund,Paul-César Helleu,1
113,Ailsa Mellon Bruce Fund,Benoit-Louis Henriquez,1
114,Ailsa Mellon Bruce Fund,Jules Hereau,1
115,Ailsa Mellon Bruce Fund,Auguste Delâtre,5
116,Ailsa Mellon Bruce Fund,Robert Hills,1
117,Ailsa Mellon Bruce Fund,James Gillray,5
118,Ailsa Mellon Bruce Fund,Hermann Weyer,5
119,Ailsa Mellon Bruce Fund,Joseph Siffred Duplessis,1
120,Ailsa Mellon Bruce Fund,Balthasar Anton Dunker,1
121,Ailsa Mellon Bruce Fund,Eugène Bléry,15
122,Ailsa Mellon Bruce Fund,Karel Dujardin,1
123,Ailsa Mellon Bruce Fund,Sébastien Bourdon,15
124,Ailsa Mellon Bruce Fund,Pierre Duflos,1
125,Ailsa Mellon Bruce Fund,Léon Gaucherel,1
126,Ailsa Mellon Bruce Fund,Abraham Genoels II,1
127,Ailsa Mellon Bruce Fund,Gerrit van Honthorst,1
128,Ailsa Mellon Bruce Fund,Hendrik Hondius I,1
129,Ailsa Mellon Bruce Fund,William Hogarth,1
130,Ailsa Mellon Bruce Fund,Ferdinand Hodler,1
131,Ailsa Mellon Bruce Fund,Justin-J. Gabriel,1
132,Ailsa Mellon Bruce Fund,Conrad Gessner,1
133,Ailsa Mellon Bruce Fund,Léonard Gaultier,15
134,Ailsa Mellon Bruce Fund,Hippolyte Lalaisse,5
135,Ailsa Mellon Bruce Fund,Jean-Louis-Ernest Meissonier,1
136,Ailsa Mellon Bruce Fund,Adriaen Frans Boudewyns,1
137,Ailsa Mellon Bruce Fund,Jean Leclerc,15
138,Ailsa Mellon Bruce Fund,Willem Buytewech,1
139,Ailsa Mellon Bruce Fund,Jean Lepautre,15
140,Ailsa Mellon Bruce Fund,Jean-Michel Moreau the Younger,1
141,Ailsa Mellon Bruce Fund,Gaetano Monti,1
142,Ailsa Mellon Bruce Fund,Jacques Androuet du Cerceau,1
143,Ailsa Mellon Bruce Fund,Louis-Jean Desprez,1
144,Ailsa Mellon Bruce Fund,Sonia Delaunay,1
145,Ailsa Mellon Bruce Fund,Pier Francesco Mola,1
146,Ailsa Mellon Bruce Fund,Cornelis Cornelisz van Haarlem,1
147,Ailsa Mellon Bruce Fund,Matthys Cock,1
148,Ailsa Mellon Bruce Fund,László Moholy-Nagy,1
149,Ailsa Mellon Bruce Fund,Friedrich Nerly,2
150,Ailsa Mellon Bruce Fund,Bernardo Castello,1
151,Ailsa Mellon Bruce Fund,Claes Oldenburg,1
152,Ailsa Mellon Bruce Fund,Alessandro Vittoria,1
153,Ailsa Mellon Bruce Fund,Hendrik Snyers,1
154,Ailsa Mellon Bruce Fund,Elisabetta Sirani,1
155,Ailsa Mellon Bruce Fund,Francesco Colombi Borde,5
156,Ailsa Mellon Bruce Fund,Andrea Boscoli,1
157,Ailsa Mellon Bruce Fund,Jan de Bisschop,1
158,Ailsa Mellon Bruce Fund,Otto August Kühler,5
159,Ailsa Mellon Bruce Fund,Peter Vischer the Younger,1
160,Ailsa Mellon Bruce Fund,Bibiena (family member),1
161,Ailsa Mellon Bruce Fund,Guido Reni,15
162,Ailsa Mellon Bruce Fund,Jacques Bellange,1
163,Ailsa Mellon Bruce Fund,Giacomo Balla,1
164,Ailsa Mellon Bruce Fund,Egid Quirin Asam,1
165,Ailsa Mellon Bruce Fund,Nicolas Delaunay,15
166,Ailsa Mellon Bruce Fund,Edwin Austin Abbey,1
167,Ailsa Mellon Bruce Fund,Filippo Bellini,1
168,Ailsa Mellon Bruce Fund,Diego Velázquez,1
169,Ailsa Mellon Bruce Fund,Themistocles von Eckenbrecher,1
170,Ailsa Mellon Bruce Fund,Käthe Kollwitz,1
171,Ailsa Mellon Bruce Fund,Bartolomeo Biscaino,5
172,Ailsa Mellon Bruce Fund,Jacob Wilhelm Mechau,1
173,Ailsa Mellon Bruce Fund,Hubert von Herkomer,1
174,Ailsa Mellon Bruce Fund,Master J.N.,1
175,Ailsa Mellon Bruce Fund,Charles Meryon,5
176,Ailsa Mellon Bruce Fund,Hans Burgkmair I,5
177,Ailsa Mellon Bruce Fund,Julius Schnorr von Carolsfeld,1
178,Ailsa Mellon Bruce Fund,Antonio Balestra,5
179,Ailsa Mellon Bruce Fund,Jost Amman,5
180,Ailsa Mellon Bruce Fund,Lovis Corinth,5
181,Ailsa Mellon Bruce Fund,Giovanni Boldini,1
182,Ailsa Mellon Bruce Fund,Lucas Emil Vorsterman,5
183,Ailsa Mellon Bruce Fund,Albert Christoph Dies,1
184,Ailsa Mellon Bruce Fund,Sheigla Hartman,5
185,Ailsa Mellon Bruce Fund,Jacob Buys,1
186,Ailsa Mellon Bruce Fund,Jean Mignon,1
187,Ailsa Mellon Bruce Fund,Simon Charles Miger,1
188,Ailsa Mellon Bruce Fund,Alessandro Longhi,1
189,Ailsa Mellon Bruce Fund,Giovanni Battista Naldini,1
190,Ailsa Mellon Bruce Fund,Cesare Nebbia,1
191,Ailsa Mellon Bruce Fund,Baldassare Franceschini,5
192,Ailsa Mellon Bruce Fund,Max Pechstein,1
193,Ailsa Mellon Bruce Fund,Marco Pino,1
194,Ailsa Mellon Bruce Fund,Hans Jakob Plepp,1
195,Ailsa Mellon Bruce Fund,Polidoro da Caravaggio,1
196,Ailsa Mellon Bruce Fund,Pierre Puget,1
197,Ailsa Mellon Bruce Fund,Wyndham Lewis,1
198,Ailsa Mellon Bruce Fund,Vicente Salvador Gómez,1
199,Ailsa Mellon Bruce Fund,Nicolas Beatrizet,5
200,Ailsa Mellon Bruce Fund,Félix Vallotton,13
201,Ailsa Mellon Bruce Fund,Carl Russ,1
202,Ailsa Mellon Bruce Fund,Charles-Antoine Coypel,5
203,Ailsa Mellon Bruce Fund,Baccio Bandinelli,5
204,Ailsa Mellon Bruce Fund,Ludovico Mattioli,13
205,Ailsa Mellon Bruce Fund,J.-R. Lucotte,1
206,Ailsa Mellon Bruce Fund,Orazio Farinati,1
207,Ailsa Mellon Bruce Fund,Georg Friedrich Schmidt,13
208,Ailsa Mellon Bruce Fund,Pierre-Henri de Valenciennes,1
209,Ailsa Mellon Bruce Fund,Mr. Claude Aubry,1
210,Ailsa Mellon Bruce Fund,Frank Stella,5
211,Ailsa Mellon Bruce Fund,Johann Georg von Dillis,1
212,Ailsa Mellon Bruce Fund,Eugène Louis Lami,1
213,Ailsa Mellon Bruce Fund,Spanish 17th Century,1
214,Ailsa Mellon Bruce Fund,Jan Smees,5
215,Ailsa Mellon Bruce Fund,Gaetano Gandolfi,13
216,Ailsa Mellon Bruce Fund,Albrecht Dürer,13
217,Ailsa Mellon Bruce Fund,Francesco Primaticcio,5
218,Ailsa Mellon Bruce Fund,Rembrandt van Rijn,13
219,Ailsa Mellon Bruce Fund,Carl Wagner,1
220,Ailsa Mellon Bruce Fund,Friedrich Wilhelm Moritz,1
221,Ailsa Mellon Bruce Fund,Cuno Amiet,1
222,Ailsa Mellon Bruce Fund,Thomas Morris,1
223,Ailsa Mellon Bruce Fund,Claude-Joseph Vernet,5
224,Ailsa Mellon Bruce Fund,James Webb,1
225,Ailsa Mellon Bruce Fund,Robert Bigelow,1
226,Ailsa Mellon Bruce Fund,Rosa Bonheur,1
227,Ailsa Mellon Bruce Fund,Erich Heckel,5
228,Ailsa Mellon Bruce Fund,Giacomo Quarenghi,1
229,Ailsa Mellon Bruce Fund,Carlo Labruzzi,14
230,Ailsa Mellon Bruce Fund,Jean-Baptiste Le Paon,1
231,Ailsa Mellon Bruce Fund,Nicolaes Pietersz Berchem,14
232,Ailsa Mellon Bruce Fund,Alan Shields,1
233,Ailsa Mellon Bruce Fund,Agostino dei Musi,1
234,Ailsa Mellon Bruce Fund,André Devambez,14
235,Ailsa Mellon Bruce Fund,Keith Anden Achepohl,1
236,Ailsa Mellon Bruce Fund,Egon Schiele,1
237,Ailsa Mellon Bruce Fund,Martin Schongauer,1
238,Ailsa Mellon Bruce Fund,Emile Schuffenecker,1
239,Ailsa Mellon Bruce Fund,Paul Signac,1
240,Ailsa Mellon Bruce Fund,Virgil Solis,1
241,Ailsa Mellon Bruce Fund,Bartholomaeus Spranger,1
242,Ailsa Mellon Bruce Fund,Tobias Stimmer,1
243,Ailsa Mellon Bruce Fund,Friedrich Sustris,1
244,Ailsa Mellon Bruce Fund,Giovanni Battista Scultori,1
245,Ailsa Mellon Bruce Fund,Lodewyk Toeput,1
246,Ailsa Mellon Bruce Fund,Peter De Wint,1
247,Ailsa Mellon Bruce Fund,Federico Zuccaro,1
248,Ailsa Mellon Bruce Fund,Basan,14
249,Ailsa Mellon Bruce Fund,Israël Silvestre,1
250,Ailsa Mellon Bruce Fund,Joos van Winghe,5
251,Ailsa Mellon Bruce Fund,Élisabeth Louise Vigée Le Brun,1
252,Ailsa Mellon Bruce Fund,Julian Alden Weir,1
253,Ailsa Mellon Bruce Fund,Joseph Wright,1
254,Ailsa Mellon Bruce Fund,Francisco de Zurbarán,1
255,Ailsa Mellon Bruce Fund,Alessandro Algardi,1
256,Ailsa Mellon Bruce Fund,Bruce Conner,1
257,Ailsa Mellon Bruce Fund,Jean-Antoine Houdon,1
258,Ailsa Mellon Bruce Fund,Giuseppe Nicolo Vicentino,1
259,Ailsa Mellon Bruce Fund,Marius Alexander Jacques Bauer,1
260,Ailsa Mellon Bruce Fund,Francesco Bassano II,1
261,Ailsa Mellon Bruce Fund,James Barry,1
262,Ailsa Mellon Bruce Fund,Agostino Carracci,14
263,Ailsa Mellon Bruce Fund,Gabriel de Saint-Aubin,1
264,Ailsa Mellon Bruce Fund,Henri Laurens,1
265,Ailsa Mellon Bruce Fund,Christoph Murer,1
266,Ailsa Mellon Bruce Fund,Gregorio De Ferrari,1
267,Ailsa Mellon Bruce Fund,Edwin Forbes,1
268,Ailsa Mellon Bruce Fund,Girolamo da Treviso II,1
269,Ailsa Mellon Bruce Fund,Adélaïde Labille-Guiard,1
270,Ailsa Mellon Bruce Fund,Stanley William Hayter,1
271,Ailsa Mellon Bruce Fund,Dirk Helmbreker,1
272,Ailsa Mellon Bruce Fund,Joris Hoefnagel,1
273,Ailsa Mellon Bruce Fund,Wolf Huber,1
274,Ailsa Mellon Bruce Fund,Paul Klee,1
275,Ailsa Mellon Bruce Fund,Hans Süss von Kulmbach,1
276,Ailsa Mellon Bruce Fund,Paolo Farinati,1
277,Ailsa Mellon Bruce Fund,Carlo Saraceni,1
278,Ailsa Mellon Bruce Fund,Adolphe Albert,1
279,Ailsa Mellon Bruce Fund,William Faithorne,14
280,Ailsa Mellon Bruce Fund,Celestin Allard-Cambray,1
281,Ailsa Mellon Bruce Fund,Edmond Aman-Jean,1
282,Ailsa Mellon Bruce Fund,Andrea Appiani,1
283,Ailsa Mellon Bruce Fund,Benoît Audran I,1
284,Ailsa Mellon Bruce Fund,Milton Avery,1
285,Ailsa Mellon Bruce Fund,Pieter de Bailliu,1
286,Ailsa Mellon Bruce Fund,Pierre-Philippe Choffard,14
287,Ailsa Mellon Bruce Fund,Jean-Joseph Balechou,1
288,Ailsa Mellon Bruce Fund,Bernard Baron,1
289,Ailsa Mellon Bruce Fund,Giovanni Francesco Costa,14
290,Ailsa Mellon Bruce Fund,Henry-Louis Dupray,1
291,Ailsa Mellon Bruce Fund,Johann Jacob Schübler,5
292,Ailsa Mellon Bruce Fund,Edwin Edwards,1
293,Ailsa Mellon Bruce Fund,Armando Spadini,1
294,Ailsa Mellon Bruce Fund,Vittorio Grassi,1
295,Ailsa Mellon Bruce Fund,Francisco Salucio,1
296,Ailsa Mellon Bruce Fund,Master FG,1
297,Ailsa Mellon Bruce Fund,James Jackson Curnock,1
298,Ailsa Mellon Bruce Fund,Frederick William Watts,1
299,Ailsa Mellon Bruce Fund,Hilaire Le Dru,1
300,Ailsa Mellon Bruce Fund,Johann Jakob Dorner the Elder,1
301,Ailsa Mellon Bruce Fund,Giuseppe Signorini,1
302,Ailsa Mellon Bruce Fund,Cornelis Steffelaar,1
303,Ailsa Mellon Bruce Fund,Jean-Robert Ango,1
304,Ailsa Mellon Bruce Fund,Petrus Johannes Schotel,1
305,Ailsa Mellon Bruce Fund,Joseph Wolfgang Xavier Klauber,1
306,Ailsa Mellon Bruce Fund,Vico Viganò,1
307,Ailsa Mellon Bruce Fund,F. Lehmert,1
308,Ailsa Mellon Bruce Fund,Francesco Dal Pozzo,1
309,Ailsa Mellon Bruce Fund,J. Sidebotham,1
310,Ailsa Mellon Bruce Fund,Anselmo Bucci,1
311,Ailsa Mellon Bruce Fund,Jacques Gamelin,1
312,Ailsa Mellon Bruce Fund,Luc Olivier Merson,1
313,Ailsa Mellon Bruce Fund,Pierre Mariette I,1
314,Ailsa Mellon Bruce Fund,Domenico Morelli,1
315,Ailsa Mellon Bruce Fund,Adriaen Hendricks Verboom,1
316,Ailsa Mellon Bruce Fund,Auguste Desperet,1
317,Ailsa Mellon Bruce Fund,Telemaco Signorini,1
318,Ailsa Mellon Bruce Fund,Clement Radolt,1
319,Ailsa Mellon Bruce Fund,Cino Bozzetti,1
320,Ailsa Mellon Bruce Fund,Uberto dell'Orto,1
321,Ailsa Mellon Bruce Fund,George Humphrey,1
322,Ailsa Mellon Bruce Fund,Antonio Fontanesi,1
323,Ailsa Mellon Bruce Fund,Edoardo Perotti,1
324,Ailsa Mellon Bruce Fund,Giovanni Battista Quadrone,1
325,Ailsa Mellon Bruce Fund,Titian,17
326,Ailsa Mellon Bruce Fund,Eugène Carrière,1
327,Ailsa Mellon Bruce Fund,Anatole-Martin de Bonsonge,1
328,Ailsa Mellon Bruce Fund,Peter van der Borcht,1
329,Ailsa Mellon Bruce Fund,Andries Both,1
330,Ailsa Mellon Bruce Fund,Peeter Bout,1
331,Ailsa Mellon Bruce Fund,Frank Brangwyn,1
332,Ailsa Mellon Bruce Fund,Isaac Briot,1
333,Ailsa Mellon Bruce Fund,Jan Gerritsz van Bronckhorst,1
334,Ailsa Mellon Bruce Fund,John Browne,1
335,Ailsa Mellon Bruce Fund,Giovanni Battista Brustolon,1
336,Ailsa Mellon Bruce Fund,Nicolaes de Bruyn,1
337,Ailsa Mellon Bruce Fund,Denys Calvaert,1
338,Ailsa Mellon Bruce Fund,Walter Teodoro Bosio,1
339,Ailsa Mellon Bruce Fund,Massimo Campigli,1
340,Ailsa Mellon Bruce Fund,Giovanni Britto,1
