,id,sum,group
0,Mrs. Max Beckmann,224,1
1,Mr. and Mrs. Benjamin B. Smith,75,1
2,Gemini G.E.L.,61,1
3,The Morris and Gwendolyn Cafritz Foundation,55,1
4,Paul Mellon,38,1
5,Ailsa Mellon Bruce Fund,29,1
6,Mrs. Lessing J. Rosenwald,25,1
7,"The Mark Rothko Foundation, Inc.",23,1
8,Lessing Julius Rosenwald,21,1
9,Professor William B. O'Neal,19,1
10,Millard Acquisition Fund,17,1
11,Mr. Cornelius Van Schaak Roosevelt,15,1
12,Mrs. Holger Cahill,11,1
13,Samuel H. Kress Foundation,10,1
14,"John C. Marin, Jr.",8,1
15,Benjamin B. Smith,6,1
16,Dr. and Mrs. Kent Minichiello,5,1
17,University of South Florida Foundation,5,1
18,Pepita Milmore Memorial Fund,4,1
19,Vito Acconci,4,1
20,"Eggers and Higgins, Architects",4,1
21,Mr. Charles Parkhurst,3,1
22,Rita Bloch Schreiber,3,1
23,Jonathan Borofsky,3,1
24,United States Government,3,1
25,Herr Wolfgang Wittrock,3,1
26,Leonard R. Stachura Fund,2,1
27,Kimbell Art Museum,2,1
28,Robert E. Meyerhoff,2,1
29,Mrs. Ruth Blumka,2,1
30,Robert Rosenwald,2,1
31,Roy Lichtenstein,2,1
32,Graphicstudio,2,1
33,Mrs. Herbert Nathan Straus,2,1
34,James N. Rosenberg,2,1
35,Avalon Fund,2,1
36,Andrew W. Mellon Fund,2,1
37,Mr. and Mrs. Paul S. Morgan,2,1
38,The Circle of the National Gallery of Art,2,1
39,Chester Dale,2,1
40,Georgia O'Keeffe,2,1
41,Mrs. Solton Engel,2,1
42,Rudolf L. Baumfeld,1,1
43,Unknown Patron,1,1
44,The Honorable H. John Heinz III,1,1
45,Mr. and Mrs. Robert H. Smith,1,1
46,Prince George's Docents,1,1
47,Mrs. Ruth Bromberg,1,1
48,Mrs. Robert A. Hauslohner,1,1
49,Mrs. Norma B. Marin,1,1
50,"Mrs. John D. Rockefeller, III",1,1
51,Mrs. Charles Prendergast,1,1
52,Mr. and Mrs. Martin Atlas,1,1
53,Mr. John O'Brien,1,1
54,Mark Jacob Millard,1,1
55,Joshua P. Smith,1,1
56,Jim Dine,1,1
57,Dr. Ruth B. Benedict,1,1
58,Cynthia Polsky,1,1
59,Bernard Brookman,1,1
60,family of Wanda Flynn,1,1
61,A.R. Penck,1,2
62,William Pain,1,2
63,James McBey,1,2
64,James Reid,1,2
65,James Webb,1,2
66,Jan Miel,1,2
67,Jasper Johns,1,2
68,Jean Lepautre,1,2
69,Jean Massard,1,2
70,Jean-Baptiste-Camille Corot,1,2
71,Jeff Wasserman,1,2
72,Sir Peter Paul Rubens,1,2
73,John Grillo,1,2
