,id,sum,group
0,Ailsa Mellon Bruce Fund,11259,1
1,Corcoran Gallery of Art,11137,1
2,Patrons' Permanent Fund,8726,1
3,Gemini G.E.L.,6692,1
4,Dave H. and Reba W. Williams,5548,1
5,Robert Frank,4819,1
6,Kathan Brown,4782,1
7,Mr. and Mrs. Benjamin B. Smith,3709,1
8,Lessing Julius Rosenwald,3576,1
9,Mrs. Jacob Kainen,2106,1
10,Glenstone,2057,1
11,Richard S. Zeisler,2021,1
12,Mr. and Mrs. John Pappajohn,2011,1
13,Mr. and Mrs. Roger Sant,2007,1
14,Pepita Milmore Memorial Fund,1876,1
15,Dr. and Mrs. William H. Gerdts,1755,1
16,Dan and Mary Solomon,1623,1
17,William B. O'Neal Fund,1618,1
18,Graphicstudio,1546,1
19,Collectors Committee,1361,1
20,Anonymous,1321,1
21,Phyllis Diebenkorn,1261,1
22,Robert Stana and Thomas Judy,1166,1
23,Millard Acquisition Fund,1131,1
24,Paul Mellon,1049,1
25,New Century Fund,1041,1
26,Dr. Ira Jackson,1001,1
27,David K.E. Bruce Fund,964,1
28,"The Mark Rothko Foundation, Inc.",957,1
29,Mr. and Mrs. Herbert Vogel,921,1
30,Benjamin B. Smith,876,1
31,Avalon Fund,825,1
32,Mrs. Max Beckmann,810,1
33,Eugene L. and Marie-Louise Garbáty Fund,760,1
34,Andrew W. Mellon Fund,727,1
35,Florian Carr Fund,691,1
36,Katharine Shepard Fund,691,1
37,Professor William B. O'Neal,641,1
38,Mr. and Mrs. Lee Fensterstock,576,1
39,Mrs. Robert A. Hauslohner,570,1
40,"Gerhard E. Pinkus and Marianne Pinkus Trustees of the Community Trust created under the Gerhard E. Pinkus and Marianne Pinkus inter, vivos Trust Agreement, dated 10/28/97",565,1
41,The Ahmanson Foundation,564,1
42,Mrs. Louis Lozowick,563,1
43,University of South Florida Foundation,532,1
44,United States Government,525,1
45,Mr. Vincent J. Buonanno,499,1
46,Ruth and Jacob Kainen Memorial Acquisition Fund,488,1
47,Jacob Kainen,487,1
48,Mr. John O'Brien,484,1
49,Gary S. Davis,483,1
50,David H. McDonnell,458,1
51,Woodward Foundation,455,1
52,Mr. Arthur E. Vershbow,451,1
53,Binding Stiftung,435,1
54,"John C. Marin, Jr.",424,1
55,June Wayne,407,1
56,Paul Mellon Fund,404,1
57,Lisa Baskin,388,1
58,Mrs. Lessing J. Rosenwald,387,1
59,Georgia O'Keeffe,385,1
60,Mrs. Sally Avery,382,1
61,The Honorable Robert H. Thayer,367,1
62,Joseph F. McCrindle,366,1
63,Alfred H. Moses and Fern M. Schad Fund,360,1
64,Roy Lichtenstein,358,1
65,Rosenwald Print Purchase Fund,349,1
66,Gerald Cerny,334,1
67,Joshua P. Smith,332,1
68,Estate of Professor Leo Steinberg,329,1
69,Beth Callahan,318,1
70,Estate of Professor William B. O'Neal,314,1
71,Mr. Neal Turtell,305,1
72,Mr. Cornelius Van Schaak Roosevelt,297,1
73,Mrs. Norma B. Marin,291,1
74,"Mr. John Davis Hatch, Jr.",281,1
75,Michael and Jane Wilson,277,1
76,Mr. and Mrs. Jacques Z. Baruch,275,1
77,Evelyn Stefansson Nef,263,1
78,Ms. Judy Norrell,252,1
79,Anthony Podesta,250,1
80,Roy Lichtenstein Foundation,249,1
81,Joseph E. Widener,242,1
82,Mr. and Mrs. Martin Atlas,242,1
83,Jay Finkel,239,1
84,Stephen G. Stein,237,1
85,Robert Jackson,237,1
86,Frank Anderson Trapp,231,1
87,Christopher With,217,1
88,Ingrid Rose,216,1
89,Frank Lobdell Trust,215,1
90,Crown Point Press,213,1
91,Robert Menschel and the Vital Projects Fund,212,1
92,Mr. and Mrs. Werner H. Kramarsky,208,1
93,Dr. Pat Kennedy,205,1
94,Professor Thomas Vogler,201,1
95,Heather and Tony Podesta,199,1
96,Estate of John Nichols Estabrook,196,1
97,Stephen Arkin,185,1
98,Ms. Dian Woodner,185,1
99,Mr. Lawrence Zicklin,184,1
100,Robert and Kerstin Adams,182,1
101,Ruth Fine,182,1
102,Jim Dine,181,1
103,Mr. A. Thompson Ellwanger III and Mr. Gregory E. Mescha,172,1
104,Susan Lorence,171,1
105,Susan Steinhauser,169,1
106,Dr. and Mrs. Maclyn E. Wade,166,1
107,Mr. Ladislaus von Hoffmann,157,1
108,Mr. and Mrs. Roger Sonnabend,155,1
109,The Foundation for the Epstein Family Collection,151,1
110,Mr. Lionel C. Epstein,148,1
111,Dr. Ruth B. Benedict,146,1
112,Dr. and Mrs. George Benjamin Green,143,1
113,Irving Penn,141,1
114,"Eggers and Higgins, Architects",137,1
115,Mr. Robert B. Menschel,133,1
116,The Morris and Gwendolyn Cafritz Foundation,133,1
117,William Robertson Coe,132,1
118,Professor and Mrs. Daniel Bell,131,1
119,The Armand Hammer Foundation,129,1
120,Professor Daniel Bell,122,1
121,Helena Gunnarsson,121,1
122,Prospero Foundation,120,1
123,Lois and Robert Erburu,120,1
124,UBS Art Collection,119,1
125,The Horace W. Goldsmith Foundation,117,1
126,Dr. and Mrs. Kent Minichiello,117,1
127,Charina Endowment Fund,116,1
128,B.H. Breslauer Foundation,116,1
129,Dr. and Mrs. Richard Susel,116,1
130,Estate of Mr. Thomas G. Klarner,115,1
131,Mr. Charles Isaacs,115,1
132,Mr. Ivan E. Phillips,113,1
133,Robert E. Meyerhoff,113,1
134,Professor Julius S. Held,110,1
135,R. K. Mellon Family Foundation,109,1
136,"Sherwood B. Smith, Jr.",109,1
137,The William Stamps Farish Fund,105,1
138,Dr. Dieter Erich Meyer,105,1
139,Robert Rauschenberg,105,1
140,Mr. and Mrs. Jacob Kainen,103,1
141,Jack and Margrit Vanderryn,101,1
142,Mr. and Mrs. Mark Borghi,99,1
143,Marlborough Gallery,99,1
144,Ms. Andrea Woodner,99,1
145,"A. Thompson Ellwanger, III",98,1
146,Ben Shneiderman,98,1
147,Vito Acconci,98,1
148,Philip Pearlstein,97,1
149,Donald Stone,97,1
150,Jane P. Watkins,95,1
151,Sandy Dolnier,95,1
152,Mark Jacob Millard,93,1
153,Mr. Harvey S. Shipley Miller,92,1
154,Richard Misrach,91,1
155,Mr. and Mrs. Seymour Schwartz,90,1
156,Ms. Julia M. Wilkinson,90,1
157,Estate of Nathan Lerner,90,1
158,Dr. Andrew Robison,89,1
159,Mr. J. Randall Plummer,87,1
160,David Gensburg,87,1
161,"The Joy of Giving Something, Inc.",87,1
162,The Saul Steinberg Foundation,87,1
163,Mr. and Mrs. Annie and Paul Mahon,85,1
164,Mrs. Betsy Karel,84,1
165,Mr. Rufus Zogbaum,84,1
166,Edward E. MacCrone Fund,84,1
167,Brigitte Freed,83,1
168,Mrs. Barbara Bertozzi Castelli,82,1
169,Director's Discretionary Fund,81,1
170,Mr. and Mrs. Edgar William Garbisch,81,1
171,Sarah Greenough,80,1
172,Mr. James A. Bergquist,80,1
173,Mrs. Henry H. Weldon,79,1
174,Mr. Lloyd Rigler,79,1
175,Ms. Katharine Shepard,79,1
176,Alex Katz,79,1
177,Ilse Bing,78,1
178,Dr. Egon Verheyen,78,1
179,Mrs. Ansel Adams,77,1
180,James Goodfriend,77,1
181,Dr. Christopher Graf,74,1
182,Pierre Cremieux,74,1
183,Lee and Maria Friedlander,74,1
184,Estate of André Kertesz,74,1
185,Paul Stenzel,73,1
186,Judith Walsh,73,1
187,Nancy Andrews,72,1
188,The Circle of the National Gallery of Art,72,1
189,Joan and David Maxwell,71,1
190,The Edward R. Broida Trust,69,1
191,The Georgia O'Keeffe Foundation,69,1
192,Nancy Lee and Perry Bass,68,1
193,Mitchell and Nancy Steir,67,1
194,Mr. and Mrs. George W. Ware,67,1
195,Gaillard F. Ravenel and Frances P. Smyth-Ravenel Fund,67,1
196,Sam Francis,66,1
197,The Judith Rothschild Foundation,65,1
198,Estate of George R. Bunker,64,1
199,National Gallery of Art Library,64,1
200,"James Castle Collection and Archive, LP",64,1
201,Debbie Taylor,62,1
202,"David Tunick, Inc.",62,1
203,Samuel H. Kress Foundation,61,1
204,Fern Schad,61,1
205,Riley Temple,58,1
206,Faya Causey,58,1
207,"Jon D. Smith, Jr.",58,1
208,Harold and Janet Tague,58,1
209,Mrs. Charles E. Slatkin,57,1
210,Mr. John L. Eastman,57,1
211,David Knaus,56,1
212,"Mr. and Mrs. Burton G. Tremaine, Sr.",56,1
213,Mrs. Joyce F. Menschel,56,1
214,Harry Waldron Havemeyer,55,1
215,Frederick Sommer,55,1
216,Mr. David Mahoney,55,1
217,Mr. and Mrs. Peter MacGill,55,1
218,Rudolf L. Baumfeld,55,1
219,Mr. Lee V. Eastman,54,1
220,Eileen and Michael Cohen,53,1
221,Mr. Raphael Bernstein,53,1
222,Tyler Graphics Ltd.,53,1
223,Jeffrey Fraenkel and Alan Mark,53,1
224,The Christian Humann Foundation,53,1
225,Gregory and Aline Gooding,53,1
226,Timothy and Suzanne Hyde,53,1
227,Karen McCready,52,1
228,James Welling,52,1
229,Jean Yves Noblet,52,1
230,Mr. and Mrs. Donald deLaski,52,1
231,Mr. Peter M. Brant,51,1
232,Mr. and Mrs. Robert A. Hauslohner,51,1
233,Mrs. Frederick Zimmermann,51,1
234,Southwestern Bell Corporation,51,1
235,Samuel Priest Korper,50,1
236,Mr. William M. Speiller,50,1
237,Mobil Corporation,49,1
238,Matthew and Ann Nimetz,49,1
239,Mr. and Mrs. Alexander M. Laughlin,48,1
240,Francine Schear Linde,48,1
241,The Diana and Mallory Walker Fund,47,1
242,Dr. Nan Rosenthal,47,1
243,Jeannette Miller,46,1
244,C.G. Boerner LLC,46,1
245,Tribute 21,46,1
246,Neelon Crawford,46,1
247,David E. Rust,46,1
248,Gallery Girls,46,1
249,Ms. Kate Ganz,45,1
250,Mr. and Mrs. James T. Dyke,45,1
251,Estate of Lilian and Benjamin Hertzberg,45,1
252,Harry Callahan,45,1
253,Professional Art Group I,44,1
254,Ian Woodner,44,1
255,Dunlevy Milbank Foundation,44,1
256,Virginia Dwan,43,1
257,Charles Isaacs Photographs,43,1
258,Elaine and James D. Wolfensohn,43,1
259,Seymour Lipton,43,1
260,Eric Denker,43,1
261,Ms. Dian Woodner and Ms. Andrea Woodner,42,1
262,Mr. and Mrs. Donald G. Fisher,41,1
263,Souls Grown Deep Foundation,41,1
264,"Hans P. Kraus, Jr., Inc.",41,1
265,Chester Dale Fund,41,1
266,Mr. and Mrs. Klaus G. Perls,41,1
267,"National Gallery of Art Library, Department of Image Collections",40,1
268,Gail and Benjamin Jacobs Fund,40,1
269,Atlas Foundation,40,1
270,William Rudolf,40,1
271,Mrs. Sara L. Lepman,39,1
272,Epstein Family Fund,39,1
273,Mr. Mark Samuels Lasner,39,1
274,The Estate Project for Artists with AIDS,39,1
275,Sandro Chia,38,1
276,Stephen Dull,38,1
277,Estate of Arthur Liebman,37,1
278,Herr Wolfgang Wittrock,37,1
279,Jean-Christophe Castelli,37,1
280,Dr. Toni G. Marcy,36,1
281,Dr. and Mrs. Malcolm W. Bick,36,1
282,Estate of Brassaï,36,1
283,Richard and Alice Thall,36,1
284,"The Ian Woodner Family Collection, Inc.",36,1
285,Mr. Charles Parkhurst,36,1
286,Clare Calder,35,1
287,Mrs. Robert B. Eichholz,35,1
288,Eberhard W. Kornfeld,34,1
289,Mr. David F. Wright,34,1
290,Andy Goldsworthy,34,1
291,James Stroud,34,1
292,Mrs. Ann Solomon,34,1
293,Mr. and Mrs. S. Michael Marcy,33,1
294,Gertrude Laughlin Chanler,33,1
295,Jasper Johns,33,1
296,Untitled Press,33,1
297,Mr. and Mrs. Robert Edelson,33,1
298,Jack Vanderryn,33,1
299,Joanne Leonard,33,1
300,Ms. Joan Palevsky,32,1
301,Edda Renouf,32,1
302,James Rosenquist,31,1
303,Andrew M. Brown,31,1
304,Mr. and Mrs. Marvin Schwartz,31,1
305,Betsy Karel,31,1
306,Marion Houstoun,31,1
307,The Honorable John R. Stevenson,31,1
308,Harris T. Schrank Fine Prints,31,1
309,Mrs. John Farr Simmons,31,1
310,Mr. Robert M. Walker,30,1
311,Professor and Mrs. Henry A. Millon,30,1
312,Stiftung Ratjen,30,1
313,Ms. Enriqueta Frankfort,30,1
314,Chuck Close,30,1
315,Mr. and Mrs. Paul Borghi,30,1
316,Mrs. Walter Tittle,30,1
317,Linda Hackett and Russell Munson Fund,30,1
318,Unknown Patron,29,1
319,Charles Hack,29,1
320,"Jimmy and Jessica Younger, Houston",29,1
321,Mary Robinson,29,1
322,Paul Kanev,29,1
323,Mrs. Rudolf J. Heinemann,29,1
324,Estate of Robert Brownlee and William Jordan,29,1
325,Christo,29,1
326,Sandra Phillips,29,1
327,Mrs. William C. Seitz,29,1
328,Dr. John Zwetchkenbaum,29,1
329,Lee and Juliet Folger,29,1
330,"Ms. Catherine Woodard and Mr. Nelson Blitz, Jr.",28,1
331,Ms. Paula Cooper,28,1
332,Diana Walker,28,1
333,Diane Nixon,28,1
334,Richard Ross,28,1
335,Ruth Fine Discretionary Fund,28,1
336,Jonathan Borofsky,28,1
337,Lynn K. Altman,28,1
338,Mr. Bert Freidus,28,1
339,Philip Brookman,28,1
340,Mr. Joseph Cohen,27,1
341,Iris & B. Gerald Cantor Foundation,27,1
342,Mr. Sanford Feld,27,1
343,Marvin Breckinridge Patterson,27,1
344,Robert Gordy,26,1
345,Mrs. Ruth Carter Stevenson,26,1
346,Dr. Richard A. Simms,26,1
347,Robert Barry,26,1
348,"Mr. and Mrs. Harry H. Lunn, Jr.",26,1
349,Susan MacGill,26,1
350,John Stocker,26,1
351,Mr. Edmund Louis Gray Zalinski II,26,1
352,Lou Stovall,26,1
353,Pace/MacGill Gallery,26,1
354,Mr. and Mrs. Samuel A. Stern,26,1
355,Mr. and Mrs. Donald C. Opatrny,25,1
356,Kimbell Art Museum,25,1
357,W. Bruce and Delaney H. Lundberg,25,1
358,Mrs. Joan A. Lees,25,1
359,Mr. and Mrs. Robert H. Smith,25,1
360,Ukrainian Art Academy,25,1
361,John Divola,24,1
362,Philip Hofer,24,1
363,Stephen Hahn,24,1
364,William O'Reilly,24,1
365,Mrs. Adolf Dehn,24,1
366,Mrs. Hyatt Mayor,24,1
367,Harmon-Meek Gallery,24,1
368,"The Andy Warhol Foundation for the Visual Arts, Inc.",23,1
369,Mr. J. Carter Brown,23,1
370,Edwin L. Cox,23,1
371,Mr. William Dove,23,1
372,Heather Podesta,23,1
373,Mark Katzman,23,1
374,Mr. and Mrs. Leo E. Zickler,22,1
375,Mr. and Mrs. N. Richard Miller,22,1
376,Mark Wilchusky,22,1
377,Ellsworth Kelly,22,1
378,George and Frances Armour Foundation,22,1
379,Mrs. Elisabeth R. Zogbaum,22,1
380,"International Art Foundation, Inc.",22,1
381,Mrs. Lillian S. Timken,22,1
382,Mr. and Mrs. David C. Ruttenberg,22,1
383,Amy Sillman,21,1
384,Professor and Mrs. Andrew S. Keck,21,1
385,Mrs. Joanna T. Steichen,21,1
386,Mr. and Mrs. Frank R. Eyerly,21,1
387,Estate of Kazuko Oshima,21,1
388,Peter and Kate Kend,21,1
389,Arakawa,20,1
390,Ken Hakuta,20,1
391,Jeffrey E. Horvitz,20,1
392,Steve Lichtenberg and Betsy Aubrey,20,1
393,Jeffrey Hugh Newman,20,1
394,George Matthew Adams,20,1
395,"Colonel Merl M. Moore, Jr. (US Ret.)",20,1
396,Mr. and Mrs. Miles Rubin,20,1
397,Estate of Moses Lasky,20,1
398,Dr. and Mrs. Stephen Ostrow,20,1
399,Mr. and Mrs. William Benedict,20,1
400,Dr. and Mrs. Ronald R. Lubritz Fund,20,1
401,Mr. Edward J. Lenkin,19,1
402,David K.E. Bruce,19,1
403,Richard Diebenkorn,19,1
404,Dewayne and Faith Perry,19,1
405,Margaret Reiner,19,1
406,Adolf Dehn,19,1
407,P. Bruce Marine and Donald Hardy,19,1
408,Mr. and Mrs. Bernard Greenberg,19,1
409,Mr. and Mrs. Robert B. Eichholz,19,1
410,Smithsonian Institution,19,1
411,Victoria Cassis,19,1
412,Seth Neubardt,19,1
413,Ann Baumann Trust,18,1
414,Mrs. Ailsa Mellon Bruce,18,1
415,Mr. Stephen K. Scher,18,1
416,Pat Steir,18,1
417,John Randolph Carter,18,1
418,Mr. and Mrs. Raymond W. Merritt,18,1
419,"Paul Prouté, S.A.",18,1
420,Ms. Eileen Cohen,18,1
421,Hope and Julian Edison,18,1
422,Mr. and Mrs. Irwin Millard Heine,18,1
423,Nancy Norman Lassalle,18,1
424,Robert B. Loper,17,1
425,Robert Mapplethorpe,17,1
426,Joseph P. DiGangi,17,1
427,Mrs. Charles R. Henschel,17,1
428,Roy and Cecily Langdale Davis,17,1
429,Professor René Huyghe,17,1
430,Osuna Galleries,17,1
431,Richard Florsheim,17,1
432,Marshall Josip Broz Tito,16,1
433,Walter Reinhardt,16,1
434,Dr. Charles A. Ryskamp,16,1
435,John Cohen,16,1
436,Randi and Bob Fisher,16,1
437,Mr. and Mrs. Arnold Saltzman,16,1
438,Blavatnik Family Foundation,16,1
439,Floriano Vecchi,16,1
440,Mark and Lynne Hammerschlag,15,1
441,Aaron I. Fleischman,15,1
442,Charles S. and Elynne B. Zucker,15,1
443,"Earl A. Powell, III",15,1
444,Roosevelt Print Fund,15,1
445,Richard and Judith Smooke,15,1
446,Herbert and Paula Molner,15,1
447,Bill Hodges Gallery,15,1
448,Millennium Funds,15,1
449,Merritt P. Dyke,15,1
450,Dr. Cyrus Katzen Foundation,15,1
451,Mr. and Mrs. Richard S. and Jeanne Press,14,1
