,target,source,value
0,Ailsa Mellon Bruce Fund,Gilles Demarteau the Elder,1
1,Ailsa Mellon Bruce Fund,Hubert François Gravelot,1
2,Ailsa Mellon Bruce Fund,Adolphe Appian,1
3,Ailsa Mellon Bruce Fund,Leonard Baskin,1
4,Ailsa Mellon Bruce Fund,Hendrick Goltzius,1
5,Ailsa Mellon Bruce Fund,Charles-Nicolas Cochin II,1
6,Ailsa Mellon Bruce Fund,Carle Van Loo,1
7,Ailsa Mellon Bruce Fund,Abraham Bloemaert,3
8,Ailsa Mellon Bruce Fund,Salvator Rosa,3
9,Ailsa Mellon Bruce Fund,François Boucher,3
10,Ailsa Mellon Bruce Fund,Jacques Androuet du Cerceau,1
11,Ailsa Mellon Bruce Fund,Max Joseph Wagenbauer,2
12,Ailsa Mellon Bruce Fund,Jean Massard,1
13,Ailsa Mellon Bruce Fund,Paul Sandby,1
14,Ailsa Mellon Bruce Fund,Stefano Della Bella,1
15,Ailsa Mellon Bruce Fund,Jan Miel,1
16,Ailsa Mellon Bruce Fund,Jacob Matthias Schmutzer,1
17,Ailsa Mellon Bruce Fund,Jacopo Nizzola da Trezzo,2
18,Ailsa Mellon Bruce Fund,Louis-Marin Bonnet,1
19,Ailsa Mellon Bruce Fund,C. del Sasso,1
20,Ailsa Mellon Bruce Fund,Adriaen van de Velde,1
21,Andrew W. Mellon Fund,Paulus Pontius,1
22,Andrew W. Mellon Fund,Sir Peter Paul Rubens,1
23,Avalon Fund,American 19th Century,1
24,Avalon Fund,Winslow Homer,1
25,Benjamin B. Smith,Gemini G.E.L.,1
26,Benjamin B. Smith,Robert Rauschenberg,1
27,Benjamin B. Smith,Robert Knisel,1
28,Benjamin B. Smith,Ron McPherson,1
29,Benjamin B. Smith,Jeff Wasserman,1
30,Benjamin B. Smith,Gary Reams,1
31,Bernard Brookman,Marsden Hartley,1
32,Chester Dale,André Derain,1
33,Chester Dale,Jean-Baptiste-Camille Corot,1
34,Cynthia Polsky,Raoul Hague,1
35,Dr. Ruth B. Benedict,Simo Pertii Hannula,1
36,Dr. and Mrs. Kent Minichiello,Walker Evans,5
37,"Eggers and Higgins, Architects",John Russell Pope,3
38,"Eggers and Higgins, Architects",Otto R. Eggers,1
39,Gemini G.E.L.,Doris Simmelink,1
40,Gemini G.E.L.,James Reid,1
41,Gemini G.E.L.,Edward Henderson,1
42,Gemini G.E.L.,Ron Olds,1
43,Gemini G.E.L.,Andrew Vlady,1
44,Gemini G.E.L.,Krystine Graziano,1
45,Gemini G.E.L.,Christopher Rauschenberg,1
46,Gemini G.E.L.,James Webb,1
47,Gemini G.E.L.,Martin Klein,2
48,Gemini G.E.L.,Nancy Brett,1
49,Gemini G.E.L.,Richard Wilke,1
50,Gemini G.E.L.,Blair Litho,1
51,Gemini G.E.L.,Timothy Isham,1
52,Gemini G.E.L.,Stuart Henderson,1
53,Gemini G.E.L.,Ellsworth Kelly,1
54,Gemini G.E.L.,Robert Petersen,1
55,Gemini G.E.L.,Sidney B. Felsen,1
56,Gemini G.E.L.,Charles Ritt,4
57,Gemini G.E.L.,Kenneth Farley,3
58,Gemini G.E.L.,Anthony Zepeda,4
59,Gemini G.E.L.,Robert Rauschenberg,6
60,Gemini G.E.L.,Bruce Lowney,1
61,Gemini G.E.L.,Serge Lozingot,3
62,Gemini G.E.L.,Patrick Foy,3
63,Gemini G.E.L.,Frank Stella,1
64,Gemini G.E.L.,Jasper Johns,1
65,Gemini G.E.L.,Claes Oldenburg,1
66,Gemini G.E.L.,Gemini G.E.L.,12
67,Gemini G.E.L.,Ed Ruscha,1
68,Gemini G.E.L.,Wallace Berman,1
69,Gemini G.E.L.,Mark Stock,1
70,Gemini G.E.L.,Sarabhai Family,1
71,Georgia O'Keeffe,Alfred Stieglitz,2
72,Graphicstudio,Graphicstudio,1
73,Graphicstudio,Vito Acconci,1
74,Herr Wolfgang Wittrock,A.R. Penck,1
75,Herr Wolfgang Wittrock,Felix Droese,1
76,Herr Wolfgang Wittrock,Gerhard Richter,1
77,James N. Rosenberg,John Marin,1
78,James N. Rosenberg,Raphael Soyer,1
79,Jim Dine,Graphicstudio,1
80,"John C. Marin, Jr.",John Marin,8
81,Jonathan Borofsky,Gemini G.E.L.,1
82,Jonathan Borofsky,Jonathan Borofsky,1
83,Jonathan Borofsky,Kenneth Farley,1
84,Joshua P. Smith,Richard Bosman,1
85,Kimbell Art Museum,Aristide Maillol,2
86,Leonard R. Stachura Fund,Jackson Pollock,2
87,Lessing Julius Rosenwald,Norman Lindsay,1
88,Lessing Julius Rosenwald,Master H.W.G.,1
89,Lessing Julius Rosenwald,David Loggan,1
90,Lessing Julius Rosenwald,Virgil Solis,1
91,Lessing Julius Rosenwald,Honoré Daumier,1
92,Lessing Julius Rosenwald,Aristide Maillol,1
93,Lessing Julius Rosenwald,Tamarind Institute,2
94,Lessing Julius Rosenwald,Joe Funk,2
95,Lessing Julius Rosenwald,Clinton Adams,2
96,Lessing Julius Rosenwald,Nora Spicer Unwin,2
97,Lessing Julius Rosenwald,Frederick O'Hara,3
98,Lessing Julius Rosenwald,Willem de Passe,1
99,Lessing Julius Rosenwald,Magdalena van de Passe,1
100,Lessing Julius Rosenwald,Leon Underwood,1
101,Lessing Julius Rosenwald,Benton Spruance,1
102,Mark Jacob Millard,Giovanni Battista Piranesi,1
103,Millard Acquisition Fund,Joseph-Marie Vien,2
104,Millard Acquisition Fund,Giovanni Battista Piranesi,1
105,Millard Acquisition Fund,Francesco Fontebasso,1
106,Millard Acquisition Fund,Francesco Piranesi,2
107,Millard Acquisition Fund,Francesco Polanzani,2
108,Millard Acquisition Fund,Andrea Palladio,3
109,Millard Acquisition Fund,Francesco Zucchi,1
110,Millard Acquisition Fund,B. Cole,1
111,Millard Acquisition Fund,Giorgio Fossati,1
112,Millard Acquisition Fund,Hans Blum,1
113,Millard Acquisition Fund,William Pain,1
114,Millard Acquisition Fund,Gaspero Ticiani,1
115,Mr. Charles Parkhurst,Sirocco Screenprints,1
116,Mr. Charles Parkhurst,Josef Albers,1
117,Mr. Charles Parkhurst,Ives-Sillman,1
118,Mr. Cornelius Van Schaak Roosevelt,M.C. Escher,15
119,Mr. John O'Brien,Joseph Ducreux,1
120,Mr. and Mrs. Benjamin B. Smith,Irene Siegel,1
121,Mr. and Mrs. Benjamin B. Smith,Seymour Rosofsky,1
122,Mr. and Mrs. Benjamin B. Smith,G. Ray Kerciu,1
123,Mr. and Mrs. Benjamin B. Smith,Gabriel Kohn,1
124,Mr. and Mrs. Benjamin B. Smith,Ernst Van Leyden,1
125,Mr. and Mrs. Benjamin B. Smith,H.C. Westermann,1
126,Mr. and Mrs. Benjamin B. Smith,Harry E. Westlund,1
127,Mr. and Mrs. Benjamin B. Smith,Eugene Larkin,1
128,Mr. and Mrs. Benjamin B. Smith,Leon Polk Smith,1
129,Mr. and Mrs. Benjamin B. Smith,Josef Albers,1
130,Mr. and Mrs. Benjamin B. Smith,Ruth Asawa,1
131,Mr. and Mrs. Benjamin B. Smith,Mario Avati,1
132,Mr. and Mrs. Benjamin B. Smith,Leon Golub,1
133,Mr. and Mrs. Benjamin B. Smith,Nathan Oliveira,1
134,Mr. and Mrs. Benjamin B. Smith,John Grillo,1
135,Mr. and Mrs. Benjamin B. Smith,William Gropper,2
136,Mr. and Mrs. Benjamin B. Smith,Otto Piene,2
137,Mr. and Mrs. Benjamin B. Smith,Gio Pomodoro,2
138,Mr. and Mrs. Benjamin B. Smith,Robert Cremean,2
139,Mr. and Mrs. Benjamin B. Smith,James Boynton,2
140,Mr. and Mrs. Benjamin B. Smith,Norman Zammitt,2
141,Mr. and Mrs. Benjamin B. Smith,Dick Wray,2
142,Mr. and Mrs. Benjamin B. Smith,George Sugarman,2
143,Mr. and Mrs. Benjamin B. Smith,John Altoon,5
144,Mr. and Mrs. Benjamin B. Smith,Tamarind Institute,37
145,Mr. and Mrs. Benjamin B. Smith,Ed Ruscha,2
146,Mr. and Mrs. Martin Atlas,Camille Pissarro,1
147,Mr. and Mrs. Paul S. Morgan,Antoine Watteau,2
148,Mr. and Mrs. Robert H. Smith,Roelandt Savery,1
149,Mrs. Charles Prendergast,Maurice Prendergast,1
150,Mrs. Herbert Nathan Straus,Florentine 15th Century,1
151,Mrs. Herbert Nathan Straus,Andrea del Verrocchio,1
152,Mrs. Holger Cahill,James Jones,11
153,"Mrs. John D. Rockefeller, III",Thomas Cole,1
154,Mrs. Lessing J. Rosenwald,Arthur Mayger Hind,3
155,Mrs. Lessing J. Rosenwald,Wako Ito,2
156,Mrs. Lessing J. Rosenwald,Stefano Della Bella,4
157,Mrs. Lessing J. Rosenwald,Jean-Louis Forain,1
158,Mrs. Lessing J. Rosenwald,Käthe Kollwitz,1
159,Mrs. Lessing J. Rosenwald,Augustin Hirschvogel,1
160,Mrs. Lessing J. Rosenwald,James McBey,1
161,Mrs. Lessing J. Rosenwald,T. Frantisek Simon,1
162,Mrs. Lessing J. Rosenwald,Hans Bol,1
163,Mrs. Lessing J. Rosenwald,Hieronymus Cock,1
164,Mrs. Lessing J. Rosenwald,Pieter van der Heyden,1
165,Mrs. Lessing J. Rosenwald,Tony Rosati,1
166,Mrs. Lessing J. Rosenwald,Leonard Lehrer,2
167,Mrs. Lessing J. Rosenwald,Mary Cassatt,3
168,Mrs. Lessing J. Rosenwald,George Cruikshank,2
169,Mrs. Max Beckmann,Max Beckmann,224
170,Mrs. Norma B. Marin,John Marin,1
171,Mrs. Robert A. Hauslohner,Anthony Gorny,1
172,Mrs. Ruth Blumka,North Italian 16th Century,1
173,Mrs. Ruth Blumka,North Italian 17th Century,1
174,Mrs. Ruth Bromberg,Giorgio Ghisi,1
175,Mrs. Solton Engel,Everett Shinn,2
176,Paul Mellon,Stanislas Lépine,1
177,Paul Mellon,Claude Monet,1
178,Paul Mellon,Berthe Morisot,1
179,Paul Mellon,Georges Rouault,1
180,Paul Mellon,Alfred Sisley,1
181,Paul Mellon,Maurice Utrillo,1
182,Paul Mellon,Winslow Homer,2
183,Paul Mellon,Francis Wheatley,1
184,Paul Mellon,Thomas Eakins,2
185,Paul Mellon,Richard Wilson,2
186,Paul Mellon,Joseph Wright,2
187,Paul Mellon,Frédéric Bazille,2
188,Paul Mellon,Edgar Degas,2
189,Paul Mellon,Edouard Vuillard,1
190,Paul Mellon,René Magritte,1
191,Paul Mellon,Henri Matisse,1
192,Paul Mellon,William Hogarth,1
193,Paul Mellon,Jean-Louis Forain,1
194,Paul Mellon,Camille Pissarro,4
195,Paul Mellon,Lyonel Feininger,1
196,Paul Mellon,Maurice Prendergast,1
197,Paul Mellon,Raoul Dufy,1
198,Paul Mellon,André Derain,1
199,Paul Mellon,Eugène Boudin,1
200,Paul Mellon,George Bellows,1
201,Paul Mellon,Rene Pierre Charles Princeteau,1
202,Paul Mellon,Ben Nicholson,1
203,Paul Mellon,Henry Fuseli,1
204,Paul Mellon,Gustave Caillebotte,1
205,Pepita Milmore Memorial Fund,Christoph Murer,1
206,Pepita Milmore Memorial Fund,Louis Fort,1
207,Pepita Milmore Memorial Fund,Pablo Picasso,2
208,Prince George's Docents,Mark Leithauser,1
209,Professor William B. O'Neal,Samuel Alken,3
210,Professor William B. O'Neal,Thomas Holloway,5
211,Professor William B. O'Neal,Frederick P. Nodder,4
212,Professor William B. O'Neal,Anker Smith,3
213,Professor William B. O'Neal,Emma Crewe,3
214,Professor William B. O'Neal,Henry Webber,1
215,Rita Bloch Schreiber,Pablo Picasso,1
216,Rita Bloch Schreiber,Constantin Brâncuși,1
217,Rita Bloch Schreiber,Henri Matisse,1
218,Robert E. Meyerhoff,Barnett Newman,2
219,Robert Rosenwald,Henri de Toulouse-Lautrec,1
220,Robert Rosenwald,Auguste Clot,1
221,Roy Lichtenstein,Roy Lichtenstein,1
222,Roy Lichtenstein,Graphicstudio,1
223,Rudolf L. Baumfeld,Jacques Callot,1
224,Samuel H. Kress Foundation,Italian 16th Century,2
225,Samuel H. Kress Foundation,Giovanni Candida,2
226,Samuel H. Kress Foundation,Valerio Belli,2
227,Samuel H. Kress Foundation,"Andrea Briosco, called Riccio",1
228,Samuel H. Kress Foundation,Florentine 15th Century,1
229,Samuel H. Kress Foundation,Giovanni da Cavino,1
230,Samuel H. Kress Foundation,Anonymous Artist,1
231,The Circle of the National Gallery of Art,Ercole Bazicaluva,1
232,The Circle of the National Gallery of Art,Perino del Vaga,1
233,The Honorable H. John Heinz III,Abraham Mignon,1
234,"The Mark Rothko Foundation, Inc.",Mark Rothko,23
235,The Morris and Gwendolyn Cafritz Foundation,Giovanni Battista Piranesi,55
236,United States Government,Jacques Callot,1
237,United States Government,Giovanni Battista Piranesi,1
238,United States Government,Francesco Piranesi,1
239,University of South Florida Foundation,Theo Wujcik,1
240,University of South Florida Foundation,Graphicstudio,2
241,University of South Florida Foundation,Anthony Stoeveken,1
242,University of South Florida Foundation,Adja Yunkers,1
243,Unknown Patron,Jean Lepautre,1
244,Vito Acconci,Vito Acconci,2
245,Vito Acconci,Graphicstudio,2
246,family of Wanda Flynn,Mark Leithauser,1
